neuron_class,gt_neurotransmitter,max_nt_value,conf,body,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
neuron1,dopamine,0.8397712111473083,0.99,5813060068,5813060068,1666492660,17784.0,17814.0,17747.5,17777.5,31457.5,31487.5,17796,17765,31468,17802,17760,31477,False
neuron1,dopamine,0.6803901195526123,0.978,5813060068,5813060068,767904550,15211.0,15241.0,21949.0,21979.0,24092.5,24122.5,15226,21970,24107,15226,21958,24108,False
neuron1,dopamine,0.7913406491279602,0.961,5813060068,5813060068,1973814555,20395.0,20425.0,23820.5,23850.5,27833.0,27863.0,20412,23830,27845,20408,23841,27851,False
neuron1,dopamine,0.9688467979431152,0.997,5813060068,5813060068,1629383757,17154.0,17184.0,19205.5,19235.5,31842.0,31872.0,17170,19220,31862,17168,19221,31852,False
neuron1,dopamine,0.8223433494567871,0.966,5813060068,5813060068,950229431,19860.0,19890.0,24775.5,24805.5,28780.0,28810.0,19879,24791,28802,19871,24790,28788,False
neuron1,dopamine,0.6991435289382935,0.978,5813060068,5813060068,2096253616,16283.0,16313.0,23853.5,23883.5,31336.0,31366.0,16298,23867,31347,16298,23870,31355,False
neuron1,dopamine,0.8738371133804321,0.997,5813060068,5813060068,2097933070,17250.0,17280.0,20711.0,20741.0,31667.5,31697.5,17257,20726,31686,17273,20726,31679,False
neuron1,dopamine,0.8059129118919373,0.972,5813060068,5813060068,1168915489,16834.5,16864.5,24212.0,24242.0,30252.5,30282.5,16842,24231,30261,16857,24223,30274,False
neuron1,dopamine,0.5628155469894409,0.969,5813060068,5813060068,1604141359,19761.0,19791.0,29405.0,29435.0,24332.5,24362.5,19783,29416,24340,19769,29424,24355,False
neuron1,dopamine,0.8084395527839661,0.982,5813060068,5813060068,544038123,18633.0,18663.0,28948.5,28978.5,25277.5,25307.5,18640,28963,25294,18656,28964,25291,False
neuron1,dopamine,0.6517306566238403,0.973,5813060068,5813060068,1467707219,16704.5,16734.5,19890.0,19920.0,31019.5,31049.5,16727,19908,31035,16712,19902,31034,False
neuron1,dopamine,0.7075223326683044,0.991,5813060068,5813060068,1375242214,17710.5,17740.5,17859.0,17889.0,32155.0,32185.0,17726,17873,32176,17725,17875,32164,False
neuron1,dopamine,0.7045879364013672,0.995,5813060068,5813060068,1262360335,17757.0,17787.0,17332.5,17362.5,32453.0,32483.0,17769,17341,32468,17775,17354,32468,False
neuron1,dopamine,0.9679390788078308,0.972,5813060068,5813060068,2153195416,20430.0,20460.0,13221.5,13251.5,32130.5,32160.5,20445,13232,32140,20445,13241,32151,False
neuron1,dopamine,0.8169218897819519,0.985,5813060068,5813060068,1448929233,16055.0,16085.0,27725.0,27755.0,29565.0,29595.0,16076,27742,29578,16064,27738,29582,False
neuron2,dopamine,0.8130786418914795,0.989,362715189,362715189,1163898298,29922.0,29952.0,22195.0,22225.0,17944.5,17974.5,29945,22210,17963,29929,22210,17956,False
neuron2,dopamine,0.8261379599571228,0.973,362715189,362715189,1100792636,31055.0,31085.0,21906.5,21936.5,18860.5,18890.5,31066,21920,18879,31074,21923,18872,False
neuron2,dopamine,0.4024233520030975,0.993,362715189,362715189,5813058442,23857.0,23887.0,20638.0,20668.0,16721.5,16751.5,23876,20655,16748,23868,20651,16725,False
neuron2,dopamine,0.5964823961257935,0.979,362715189,362715189,1008037566,32315.0,32345.0,22844.5,22874.5,19237.5,19267.5,32324,22856,19248,32336,22863,19257,False
neuron2,dopamine,0.4679959416389465,0.954,362715189,362715189,799279899,23246.5,23276.5,30087.0,30117.0,15911.5,15941.5,23258,30102,15934,23265,30102,15919,False
neuron2,dopamine,0.7639341354370117,0.987,362715189,362715189,424720670,13257.5,13287.5,28594.5,28624.5,10657.5,10687.5,13265,28611,10675,13280,28608,10670,False
neuron2,dopamine,0.6143448352813721,0.982,362715189,362715189,1070094447,25568.0,25598.0,20536.5,20566.5,16854.5,16884.5,25592,20551,16867,25574,20552,16872,False
neuron2,dopamine,0.612401008605957,0.967,362715189,362715189,1070115557,30655.5,30685.5,22805.0,22835.0,18758.0,18788.0,30673,22824,18769,30668,22816,18777,False
neuron2,dopamine,0.5257211923599243,0.991,362715189,362715189,978358080,32008.0,32038.0,23540.0,23570.0,19854.0,19884.0,32024,23547,19874,32022,23563,19864,False
neuron2,dopamine,0.5805686712265015,0.991,362715189,362715189,1012112513,26586.0,26616.0,19286.5,19316.5,15418.5,15448.5,26594,19296,15429,26608,19307,15438,False
neuron2,dopamine,0.6754276752471924,0.998,362715189,362715189,484126552,13839.5,13869.5,29155.0,29185.0,9949.5,9979.5,13856,29179,9965,13853,29161,9964,False
neuron2,dopamine,0.3292942345142364,0.97,362715189,362715189,789130596,27836.5,27866.5,20661.0,20691.0,16459.5,16489.5,27852,20682,16470,27851,20670,16479,False
neuron2,dopamine,0.6988829970359802,0.966,362715189,362715189,1012112486,25164.5,25194.5,19831.0,19861.0,15667.0,15697.0,25172,19844,15683,25187,19848,15681,False
neuron2,dopamine,0.5828724503517151,0.978,362715189,362715189,1195973360,28933.5,28963.5,22694.0,22724.0,17897.0,17927.0,28952,22702,17910,28945,22716,17914,False
neuron2,dopamine,0.6143448352813721,0.982,362715189,362715189,5813041681,25573.5,25603.5,20533.5,20563.5,16842.5,16872.5,25592,20551,16867,25585,20546,16848,False
neuron3,dopamine,0.676530122756958,0.983,294436967,294436967,575729037,7020.0,7050.0,19480.5,19510.5,7023.5,7053.5,7042,19503,7044,7028,19488,7033,False
neuron3,dopamine,0.5720988512039185,0.982,294436967,294436967,481946285,8384.5,8414.5,16015.0,16045.0,12447.0,12477.0,8400,16027,12458,8399,16033,12466,False
neuron3,dopamine,0.7643993496894836,0.995,294436967,294436967,449901277,11641.0,11671.0,20742.5,20772.5,6258.0,6288.0,11660,20754,6269,11652,20761,6277,False
neuron3,dopamine,0.852777361869812,0.97,294436967,294436967,604039904,5792.5,5822.5,19167.5,19197.5,7319.5,7349.5,5812,19180,7333,5803,19185,7336,False
neuron3,dopamine,0.9059969782829284,0.993,294436967,294436967,5813009391,12196.0,12226.0,21135.0,21165.0,5906.5,5936.5,12217,21148,5925,12205,21152,5918,False
neuron3,dopamine,0.7124424576759338,0.964,294436967,294436967,484014387,6921.0,6951.0,25311.0,25341.0,7016.0,7046.0,6928,25325,7025,6944,25327,7037,False
neuron3,dopamine,0.9996811151504515,0.958,294436967,294436967,388954086,15081.0,15111.0,21203.0,21233.0,6857.0,6887.0,15095,21216,6858,15097,21220,6886,False
neuron3,dopamine,0.6837454438209534,0.974,294436967,294436967,326542980,15516.5,15546.5,22158.5,22188.5,6801.0,6831.0,15532,22165,6818,15531,22182,6814,False
neuron3,dopamine,0.7315651178359985,0.994,294436967,294436967,425790257,12228.0,12258.0,17638.5,17668.5,9458.0,9488.0,12243,17648,9472,12243,17659,9474,False
neuron3,dopamine,0.8892973065376282,0.97,294436967,294436967,296514350,14843.5,14873.5,21827.5,21857.5,6141.5,6171.5,14854,21838,6151,14863,21847,6162,False
neuron3,dopamine,0.536517322063446,0.998,294436967,294436967,295443136,11286.5,11316.5,19622.5,19652.5,7937.5,7967.5,11297,19640,7955,11306,19635,7950,False
neuron3,dopamine,0.8686180114746094,0.994,294436967,294436967,480664837,14227.0,14257.0,19060.0,19090.0,8633.0,8663.0,14241,19068,8644,14243,19082,8652,False
neuron3,dopamine,0.5489428043365479,0.986,294436967,294436967,388881226,11587.5,11617.5,18779.5,18809.5,6939.0,6969.0,11599,18798,6952,11606,18791,6956,False
neuron3,dopamine,0.9052553176879884,0.98,294436967,294436967,295107330,7233.5,7263.5,22493.0,22523.0,5402.0,5432.0,7245,22506,5420,7252,22510,5414,False
neuron3,dopamine,0.6992002725601196,0.994,294436967,294436967,295132437,14119.0,14149.0,21067.0,21097.0,4440.0,4470.0,14135,21082,4461,14133,21082,4449,False
neuron4,dopamine,0.3442661762237549,0.982,486315287,486315287,1132846376,26426.5,26456.5,20513.0,20543.0,16034.0,16064.0,26447,20526,16042,26436,20530,16056,False
neuron4,dopamine,0.4719473719596863,0.996,486315287,486315287,892376720,29654.5,29684.5,29925.0,29955.0,14240.5,14270.5,29672,29940,14250,29667,29940,14261,False
neuron4,dopamine,0.8553298115730286,0.998,486315287,486315287,1111762690,33396.0,33426.0,29205.0,29235.0,18064.0,18094.0,33411,29212,18077,33411,29228,18081,False
neuron4,dopamine,0.616523027420044,0.97,486315287,486315287,5813111563,20185.5,20215.5,25326.0,25356.0,20916.5,20946.5,20201,25338,20937,20200,25344,20926,False
neuron4,dopamine,0.6734154224395752,0.956,486315287,486315287,859735285,31862.5,31892.5,28470.0,28500.0,20391.5,20421.5,31880,28492,20407,31875,28478,20406,False
neuron4,dopamine,0.8669481873512268,0.958,486315287,486315287,5813058442,22857.5,22887.5,23083.5,23113.5,17813.0,17843.0,22873,23102,17823,22872,23095,17833,False
neuron4,dopamine,0.6984496116638184,0.956,486315287,486315287,952166828,28110.5,28140.5,22220.5,22250.5,17468.0,17498.0,28117,22232,17483,28134,22239,17483,False
neuron4,dopamine,0.8936358690261841,0.99,486315287,486315287,388954086,32995.0,33025.0,29147.5,29177.5,19184.0,19214.0,33018,29160,19198,33002,29165,19200,False
neuron4,dopamine,0.6984496116638184,0.956,486315287,486315287,1069766271,28104.0,28134.0,22225.0,22255.0,17468.0,17498.0,28117,22232,17483,28121,22248,17483,False
neuron4,dopamine,0.7588019967079163,0.97,486315287,486315287,1132846376,23086.5,23116.5,19583.0,19613.0,16234.5,16264.5,23109,19605,16245,23094,19591,16254,False
neuron4,dopamine,0.7002875208854675,0.975,486315287,486315287,362715189,27080.0,27110.0,23040.5,23070.5,17131.0,17161.0,27097,23058,17152,27093,23053,17140,False
neuron4,dopamine,0.6148852109909058,0.97,486315287,486315287,362715189,23791.0,23821.0,19821.5,19851.5,16273.5,16303.5,23805,19829,16284,23807,19844,16293,False
neuron4,dopamine,0.4663149118423462,0.984,486315287,486315287,1195632413,29834.0,29864.0,20911.0,20941.0,18476.5,18506.5,29843,20930,18490,29855,20922,18493,False
neuron4,dopamine,0.6196434497833252,0.962,486315287,486315287,1132488293,22969.0,22999.0,19522.5,19552.5,16421.5,16451.5,22975,19537,16436,22993,19538,16437,False
neuron4,dopamine,0.3328364789485931,0.965,486315287,486315287,1039771821,28955.0,28985.0,21503.0,21533.0,17596.5,17626.5,28965,21510,17612,28975,21526,17611,False
neuron5,dopamine,0.8871820569038391,0.955,5813071348,5813071348,1160752165,20027.5,20057.5,15521.0,15551.0,17580.0,17610.0,20044,15537,17601,20041,15535,17589,False
neuron5,dopamine,0.8364267349243164,0.974,5813071348,5813071348,977866721,6851.5,6881.5,19627.0,19657.0,16716.5,16746.5,6872,19637,16735,6861,19647,16728,False
neuron5,dopamine,0.8312387466430664,0.967,5813071348,5813071348,1193029926,7240.5,7270.5,18063.5,18093.5,19275.5,19305.5,7253,18081,19285,7258,18076,19296,False
neuron5,dopamine,0.9092563390731812,0.978,5813071348,5813071348,418224293,9234.5,9264.5,19130.0,19160.0,14340.0,14370.0,9253,19149,14354,9246,19141,14356,False
neuron5,dopamine,0.8115196228027344,0.997,5813071348,5813071348,1170344185,14268.5,14298.5,15100.5,15130.5,12254.5,12284.5,14282,15107,12271,14285,15124,12268,False
neuron5,dopamine,0.7033580541610718,0.977,5813071348,5813071348,5813024712,15249.5,15279.5,13762.0,13792.0,10346.5,10376.5,15258,13780,10358,15271,13774,10365,False
neuron5,dopamine,0.9342753291130066,0.952,5813071348,5813071348,295828029,12012.5,12042.5,16482.0,16512.0,14469.5,14499.5,12029,16501,14483,12026,16493,14486,False
neuron5,dopamine,0.9019355177879332,0.993,5813071348,5813071348,5813041244,5589.5,5619.5,16757.5,16787.5,15349.5,15379.5,5597,16770,15363,5612,16775,15366,False
neuron5,dopamine,0.9445233941078186,0.996,5813071348,5813071348,758903321,6205.5,6235.5,17212.0,17242.0,16532.0,16562.0,6226,17228,16544,6215,17226,16550,False
neuron5,dopamine,0.6705306768417358,0.968,5813071348,5813071348,673366098,6654.0,6684.0,19164.5,19194.5,17664.0,17694.0,6669,19173,17679,6669,19186,17679,False
neuron5,dopamine,0.9881603717803956,0.992,5813071348,5813071348,1347979604,19310.5,19340.5,16973.0,17003.0,18536.5,18566.5,19326,16994,18547,19325,16982,18556,False
neuron5,dopamine,0.5723469257354736,0.974,5813071348,5813071348,1009315757,18910.0,18940.0,19511.5,19541.5,14722.0,14752.0,18927,19529,14731,18923,19524,14743,False
