neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron1,0.99,5813060068,dopamine,0.8397712111473083,dopamine,5813060068,1666492660,WED(R),WED(R),17796,17765,31468,17802,17760,31477,0.99,0.982896
neuron1,0.978,5813060068,dopamine,0.6803901195526123,dopamine,5813060068,767904550,EPA(R),EPA(R),15226,21970,24107,15226,21958,24108,0.978,0.9839
neuron1,0.961,5813060068,dopamine,0.7913406491279602,dopamine,5813060068,1973814555,LAL(R),LAL(R),20412,23830,27845,20408,23841,27851,0.961,0.952083
neuron1,0.997,5813060068,dopamine,0.9688467979431152,dopamine,5813060068,1629383757,WED(R),WED(R),17170,19220,31862,17168,19221,31852,0.997,0.986508
neuron1,0.966,5813060068,dopamine,0.8223433494567871,dopamine,5813060068,950229431,LAL(R),LAL(R),19879,24791,28802,19871,24790,28788,0.966,0.999929
neuron1,0.978,5813060068,dopamine,0.6991435289382935,dopamine,5813060068,2096253616,LAL(R),LAL(R),16298,23867,31347,16298,23870,31355,0.978,0.99285
neuron1,0.997,5813060068,dopamine,0.8738371133804321,dopamine,5813060068,2097933070,WED(R),WED(R),17257,20726,31686,17273,20726,31679,0.997,0.96585
neuron1,0.972,5813060068,dopamine,0.8059129118919373,dopamine,5813060068,1168915489,LAL(R),LAL(R),16842,24231,30261,16857,24223,30274,0.972,0.979456
neuron1,0.969,5813060068,dopamine,0.5628155469894409,dopamine,5813060068,1604141359,LAL(R),LAL(R),19783,29416,24340,19769,29424,24355,0.969,0.995328
neuron1,0.982,5813060068,dopamine,0.8084395527839661,dopamine,5813060068,544038123,LAL(R),LAL(R),18640,28963,25294,18656,28964,25291,0.982,0.964952
neuron1,0.973,5813060068,dopamine,0.6517306566238403,dopamine,5813060068,1467707219,WED(R),WED(R),16727,19908,31035,16712,19902,31034,0.973,0.983645
neuron1,0.991,5813060068,dopamine,0.7075223326683044,dopamine,5813060068,1375242214,WED(R),WED(R),17726,17873,32176,17725,17875,32164,0.991,0.99816
neuron1,0.995,5813060068,dopamine,0.7045879364013672,dopamine,5813060068,1262360335,WED(R),WED(R),17769,17341,32468,17775,17354,32468,0.995,0.991501
neuron1,0.972,5813060068,dopamine,0.9679390788078308,dopamine,5813060068,2153195416,IPS(R),IPS(R),20445,13232,32140,20445,13241,32151,0.972,0.978933
neuron1,0.985,5813060068,dopamine,0.8169218897819519,dopamine,5813060068,1448929233,LAL(R),LAL(R),16076,27742,29578,16064,27738,29582,0.985,0.993348
neuron2,0.989,362715189,dopamine,0.8130786418914795,dopamine,362715189,1163898298,FB,FB,29945,22210,17963,29929,22210,17956,0.989,0.969208
neuron2,0.973,362715189,dopamine,0.8261379599571228,dopamine,362715189,1100792636,FB,FB,31066,21920,18879,31074,21923,18872,0.973,0.97667
neuron2,0.993,362715189,dopamine,0.40242335200309753,dopamine,362715189,5813058442,FB,FB,23876,20655,16748,23868,20651,16725,0.993,0.984097
neuron2,0.979,362715189,dopamine,0.5964823961257935,dopamine,362715189,1008037566,FB,FB,32324,22856,19248,32336,22863,19257,0.979,0.969866
neuron2,0.954,362715189,dopamine,0.46799594163894653,dopamine,362715189,799279899,SMP(R),SMP(R),23258,30102,15934,23265,30102,15919,0.954,0.999991
neuron2,0.987,362715189,dopamine,0.7639341354370117,dopamine,362715189,424720670,SIP(R),SIP(R),13265,28611,10675,13280,28608,10670,0.987,0.969518
neuron2,0.982,362715189,dopamine,0.6143448352813721,dopamine,362715189,1070094447,FB,FB,25592,20551,16867,25574,20552,16872,0.982,0.954668
neuron2,0.967,362715189,dopamine,0.612401008605957,dopamine,362715189,1070115557,FB,FB,30673,22824,18769,30668,22816,18777,0.967,0.977228
neuron2,0.991,362715189,dopamine,0.5257211923599243,dopamine,362715189,978358080,FB,FB,32024,23547,19874,32022,23563,19864,0.991,0.953283
neuron2,0.991,362715189,dopamine,0.5805686712265015,dopamine,362715189,1012112513,FB,FB,26594,19296,15429,26608,19307,15438,0.991,0.954813
neuron2,0.998,362715189,dopamine,0.6754276752471924,dopamine,362715189,484126552,SIP(R),SIP(R),13856,29179,9965,13853,29161,9964,0.998,0.999734
neuron2,0.97,362715189,dopamine,0.32929423451423645,dopamine,362715189,789130596,FB,FB,27852,20682,16470,27851,20670,16479,0.97,0.976488
neuron2,0.966,362715189,dopamine,0.6988829970359802,dopamine,362715189,1012112486,FB,FB,25172,19844,15683,25187,19848,15681,0.966,0.998871
neuron2,0.978,362715189,dopamine,0.5828724503517151,dopamine,362715189,1195973360,FB,FB,28952,22702,17910,28945,22716,17914,0.978,0.966309
neuron2,0.982,362715189,dopamine,0.6143448352813721,dopamine,362715189,5813041681,FB,FB,25592,20551,16867,25585,20546,16848,0.982,0.99583
neuron3,0.983,294436967,dopamine,0.676530122756958,dopamine,294436967,575729037,SLP(R),SLP(R),7042,19503,7044,7028,19488,7033,0.983,0.950815
