neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron1,0.993,480590566,gaba,0.8843741416931152,gaba,480590566,294436967,SCL(R),SCL(R),8135,16114,13487,8122,16117,13490,0.993,0.996199
neuron1,0.981,480590566,gaba,0.9691250920295715,gaba,480590566,361968122,LH(R),LH(R),7208,18013,10822,7182,18013,10815,0.981,0.970703
neuron1,0.994,480590566,gaba,0.6337454915046692,gaba,480590566,635062078,CA(R),CA(R),13565,11928,10853,13579,11927,10880,0.994,0.985637
neuron1,0.986,480590566,gaba,0.9691821932792664,gaba,480590566,1818307672,CA(R),CA(R),14060,15781,10415,14043,15788,10417,0.986,0.987977
neuron1,0.97,480590566,gaba,0.9037709832191467,gaba,480590566,730537677,LH(R),LH(R),6325,17967,12083,6311,17955,12088,0.97,0.975336
neuron1,0.978,480590566,gaba,0.9992233514785767,gaba,480590566,1162063500,CA(R),CA(R),13533,13170,12025,13536,13187,12016,0.978,0.990129
neuron1,0.958,480590566,gaba,0.9612957239151001,gaba,480590566,5813034571,LH(R),LH(R),3673,21612,12926,3656,21622,12923,0.958,0.968033
neuron1,0.988,480590566,gaba,0.9112334251403809,gaba,480590566,1640594274,LH(R),LH(R),7258,20451,9739,7262,20429,9729,0.988,0.977675
neuron1,0.99,480590566,gaba,0.9969809651374817,gaba,480590566,1850706912,LH(R),LH(R),4025,20321,12809,4038,20321,12800,0.99,0.998148
neuron1,0.958,480590566,gaba,0.8937566876411438,gaba,480590566,5813060614,CA(R),CA(R),16699,13350,12395,16697,13326,12402,0.958,0.979599
neuron1,0.983,480590566,gaba,0.6944859623908997,gaba,480590566,421310144,LH(R),LH(R),5830,19630,12282,5825,19637,12266,0.983,0.979529
neuron1,0.992,480590566,gaba,0.9279349446296692,gaba,480590566,754854077,LH(R),LH(R),3938,16660,12803,3945,16643,12819,0.992,0.984413
neuron1,0.987,480590566,gaba,0.9395385384559631,gaba,480590566,1827861966,SCL(R),SCL(R),14167,15635,12715,14194,15662,12707,0.987,0.980323
