neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron1,0.997,5813022826,octopamine,0.6823398470878601,octopamine,5813022826,1686839045,LO(R),LO(R),2779,14205,25786,2776,14186,25790,0.997,0.952027
neuron1,0.998,5813022826,octopamine,0.6295468807220459,octopamine,5813022826,2156455362,LO(R),LO(R),3582,19390,31269,3592,19378,31275,0.998,0.98803
neuron1,0.987,5813022826,octopamine,0.4379194378852844,octopamine,5813022826,1815126433,LO(R),LO(R),5728,15689,30888,5738,15682,30876,0.987,0.998683
neuron1,0.992,5813022826,octopamine,0.5418003797531128,octopamine,5813022826,1874739981,LO(R),LO(R),2853,16288,26499,2872,16286,26508,0.992,0.985868
neuron1,0.994,5813022826,octopamine,0.601616621017456,octopamine,5813022826,1934790344,LO(R),LO(R),3946,14005,28265,3954,13997,28252,0.994,0.992442
neuron1,0.994,5813022826,octopamine,0.48504331707954407,octopamine,5813022826,1715814552,LO(R),LO(R),5753,12665,27381,5756,12650,27401,0.994,0.954449
neuron1,0.986,5813022826,octopamine,0.3733721375465393,octopamine,5813022826,2000226559,LO(R),LO(R),2163,19588,29380,2181,19578,29373,0.986,0.99463
neuron1,0.998,5813022826,octopamine,0.377096563577652,octopamine,5813022826,1682707330,LO(R),LO(R),6104,12073,26843,6104,12058,26837,0.998,0.970738
neuron1,0.998,5813022826,octopamine,0.6295468807220459,octopamine,5813022826,2094043383,LO(R),LO(R),3582,19390,31269,3596,19380,31259,0.998,0.983326
neuron1,0.991,5813022826,octopamine,0.7480624914169312,octopamine,5813022826,2152047299,LO(R),LO(R),6872,13823,31239,6881,13805,31237,0.991,0.96908
neuron1,0.985,5813022826,octopamine,0.4661526083946228,octopamine,5813022826,2153402216,LO(R),LO(R),5868,15707,30834,5871,15705,30846,0.985,0.981149
neuron1,0.992,5813022826,octopamine,0.5418003797531128,octopamine,5813022826,1811997861,LO(R),LO(R),2853,16288,26499,2849,16285,26508,0.992,0.960602
neuron1,0.975,5813022826,octopamine,0.4018549621105194,octopamine,5813022826,1965151562,LO(R),LO(R),6506,12379,28588,6500,12378,28576,0.975,0.95048
neuron1,0.993,5813022826,octopamine,0.9624664187431335,octopamine,5813022826,1628523730,LO(R),LO(R),3629,19379,31564,3629,19366,31552,0.993,0.983639
neuron1,0.994,5813022826,octopamine,0.48504331707954407,octopamine,5813022826,1870655688,LO(R),LO(R),5753,12665,27381,5744,12641,27371,0.994,0.989774
neuron2,0.953,638481581,octopamine,0.5295090675354004,octopamine,638481581,1640572741,AL(R),AL(R),18346,31331,24836,18340,31349,24839,0.953,0.966492
neuron2,0.988,638481581,octopamine,0.9914303421974182,octopamine,638481581,5813021848,CA(R),CA(R),14540,12582,12136,14549,12593,12138,0.988,0.970219
neuron2,0.962,638481581,octopamine,0.9859946966171265,octopamine,638481581,1670273743,AL(R),AL(R),16621,32715,26843,16632,32721,26850,0.962,0.97183
neuron2,0.964,638481581,octopamine,0.9886045455932617,octopamine,638481581,511271574,CA(R),CA(R),17695,13264,12241,17711,13248,12244,0.964,0.951616
neuron2,0.988,638481581,octopamine,0.9750484228134155,octopamine,638481581,5813024698,AL(R),AL(R),19688,33916,31256,19699,33900,31266,0.988,0.950428
neuron2,0.985,638481581,octopamine,0.9806458353996277,octopamine,638481581,5813055048,LH(R),LH(R),2975,18692,14956,2991,18683,14956,0.985,0.969661
neuron2,0.992,638481581,octopamine,0.7666890621185303,octopamine,638481581,823668338,LH(R),LH(R),2913,19924,13993,2926,19929,13998,0.992,0.998026
neuron2,0.989,638481581,octopamine,0.9981196522712708,octopamine,638481581,760541793,LH(R),LH(R),3851,20347,15674,3843,20355,15678,0.989,0.999953
neuron2,0.992,638481581,octopamine,0.9042068123817444,octopamine,638481581,1794055377,AL(R),AL(R),17677,30458,32058,17691,30450,32059,0.992,0.993825
neuron2,0.961,638481581,octopamine,0.9362527132034302,octopamine,638481581,1762351201,AL(R),AL(R),17190,30508,29466,17192,30499,29466,0.961,0.966002
neuron2,0.984,638481581,octopamine,0.6194033622741699,octopamine,638481581,698194389,LH(R),LH(R),7585,19517,9115,7603,19517,9119,0.984,0.970966
neuron2,0.966,638481581,octopamine,0.9452521204948425,octopamine,638481581,1788676257,AL(R),AL(R),17913,28522,31497,17902,28502,31489,0.966,0.992454
neuron2,0.984,638481581,octopamine,0.9219028353691101,octopamine,638481581,1640572741,AL(R),AL(R),20648,26526,29365,20663,26534,29366,0.984,0.973684
neuron2,0.961,638481581,octopamine,0.9987810254096985,octopamine,638481581,1672320134,AL(R),AL(R),16332,32878,29408,16345,32875,29414,0.961,0.959872
neuron2,0.972,638481581,octopamine,0.9642158150672913,octopamine,638481581,1672320134,AL(R),AL(R),19779,29613,32731,19773,29617,32751,0.972,0.960469
neuron3,0.956,329566174,octopamine,0.9991589784622192,octopamine,329566174,643717679,gL(R),gL(R),15615,27790,18374,15614,27778,18374,0.956,0.992305
neuron3,0.979,329566174,octopamine,0.8343780040740967,octopamine,329566174,612652688,SMP(R),SMP(R),18231,29752,11525,18218,29754,11511,0.979,0.989024
neuron3,0.991,329566174,octopamine,0.9999988079071045,octopamine,329566174,330319983,SLP(R),SLP(R),13314,22029,8345,13321,22014,8353,0.991,0.968038
neuron3,0.952,329566174,octopamine,0.986135721206665,octopamine,329566174,298262663,SIP(R),SIP(R),13507,28073,10534,13507,28054,10544,0.952,0.997862
neuron3,0.973,329566174,octopamine,0.9922875165939331,octopamine,329566174,1008369816,FB,FB,22419,23182,17631,22400,23194,17626,0.973,0.988744
neuron3,0.991,329566174,octopamine,0.9724285006523132,octopamine,329566174,733036127,SLP(R),SLP(R),11716,20651,9465,11716,20642,9454,0.991,0.999939
neuron3,0.993,329566174,octopamine,0.9742268919944763,octopamine,329566174,486842208,FB,FB,28803,20619,15803,28803,20619,15786,0.993,0.964848
neuron3,0.953,329566174,octopamine,0.9998514652252197,octopamine,329566174,947685488,FB,FB,20960,20741,15893,20969,20749,15905,0.953,0.990501
neuron3,0.982,329566174,octopamine,0.9995947480201721,octopamine,329566174,943955813,FB,FB,22991,22189,19038,23000,22191,19049,0.982,0.993163
neuron3,0.951,329566174,octopamine,0.9575815796852112,octopamine,329566174,668716892,,,24558,24444,15583,24572,24456,15585,0.951,0.992439
neuron3,0.96,329566174,octopamine,0.9844143390655518,octopamine,329566174,575384259,AOTU(R),AOTU(R),12675,28148,13651,12688,28157,13655,0.96,0.997948
neuron3,0.993,329566174,octopamine,0.999091625213623,octopamine,329566174,727838223,SIP(R),SIP(R),14483,26060,8683,14493,26049,8680,0.993,0.977844
neuron3,0.984,329566174,octopamine,0.9950856566429138,octopamine,329566174,516504076,SMP(R),SMP(R),18084,29665,10646,18088,29647,10645,0.984,0.995874
neuron3,0.981,329566174,octopamine,0.8966072201728821,octopamine,329566174,423748579,SIP(R),SIP(R),14357,27963,9451,14365,27946,9454,0.981,0.97948
neuron3,0.959,329566174,octopamine,0.9739897847175598,octopamine,329566174,359891881,SLP(R),SLP(R),9084,27484,7244,9106,27478,7256,0.959,0.984216
neuron4,0.957,821344462,octopamine,0.43492603302001953,octopamine,821344462,5812986197,PVLP(R),PVLP(R),11490,20817,19678,11488,20801,19687,0.957,0.978399
neuron4,0.994,821344462,octopamine,0.3930618464946747,octopamine,821344462,516055524,SCL(R),SCL(R),12433,19317,15566,12436,19314,15551,0.994,0.998788
neuron4,0.998,821344462,octopamine,0.5557442903518677,octopamine,821344462,606447968,SCL(R),SCL(R),12275,19838,14130,12292,19838,14126,0.998,0.999808
neuron4,0.997,821344462,octopamine,0.4822375476360321,octopamine,821344462,669856713,SCL(R),SCL(R),12509,19664,14599,12520,19664,14584,0.997,0.985304
neuron4,0.974,821344462,octopamine,0.428945928812027,octopamine,821344462,1221918930,SPS(R),SPS(R),16526,13078,22062,16519,13081,22068,0.974,0.991621
neuron4,0.97,821344462,octopamine,0.44384634494781494,octopamine,821344462,1069291635,IB,IB,23041,17209,20145,23027,17198,20142,0.97,0.999966
neuron4,0.978,821344462,octopamine,0.7681854367256165,octopamine,821344462,2033503245,LAL(R),LAL(R),17280,23979,31352,17287,23974,31364,0.978,0.993778
neuron4,0.998,821344462,octopamine,0.5557442903518677,octopamine,821344462,605554875,SCL(R),SCL(R),12275,19838,14130,12272,19844,14147,0.998,0.992833
neuron4,0.97,821344462,octopamine,0.5101798176765442,octopamine,821344462,2187986163,VES(R),VES(R),19597,18858,32538,19593,18854,32544,0.97,0.999296
neuron4,0.991,821344462,octopamine,0.563947856426239,octopamine,821344462,1039271486,SCL(R),SCL(R),12695,19587,15056,12710,19588,15044,0.991,0.960153
neuron4,0.993,821344462,octopamine,0.7201935648918152,octopamine,821344462,766410805,AVLP(R),AVLP(R),11779,23353,17754,11779,23337,17754,0.993,0.988926
neuron4,0.985,821344462,octopamine,0.4951053261756897,octopamine,821344462,1225238274,AVLP(R),AVLP(R),13037,30498,27171,13028,30489,27178,0.985,0.995357
neuron4,0.986,821344462,octopamine,0.5192541480064392,octopamine,821344462,452689494,PLP(R),PLP(R),12431,19726,17897,12421,19714,17880,0.986,0.950955
neuron4,0.984,821344462,octopamine,0.6953888535499573,octopamine,821344462,546661830,SMP(R),SMP(R),20514,24552,12961,20519,24560,12952,0.984,0.999997
neuron4,0.97,821344462,octopamine,0.5101798176765442,octopamine,821344462,5813001697,VES(R),VES(R),19597,18858,32538,19631,18848,32551,0.97,0.965228
neuron5,0.998,5813054053,octopamine,0.74086594581604,octopamine,5813054053,1070655552,SCL(R),SCL(R),12466,21039,12620,12457,21043,12611,0.998,0.992746
neuron5,0.997,5813054053,octopamine,0.36246615648269653,octopamine,5813054053,795723912,SCL(R),SCL(R),12819,22088,14382,12836,22091,14352,0.997,0.985969
neuron5,0.965,5813054053,octopamine,0.45366987586021423,octopamine,5813054053,5812988820,SPS(R),SPS(R),18095,14530,22572,18079,14529,22574,0.965,0.991286
neuron5,0.978,5813054053,octopamine,0.7392070889472961,octopamine,5813054053,728230740,IB,IB,20292,15622,20395,20281,15630,20394,0.978,0.996918
neuron5,0.959,5813054053,octopamine,0.5452986359596252,octopamine,5813054053,1013343649,ICL(R),ICL(R),18849,22167,16719,18836,22180,16715,0.959,0.976862
neuron5,0.967,5813054053,octopamine,0.49475380778312683,octopamine,5813054053,5813027276,AVLP(R),AVLP(R),13706,29938,25609,13696,29949,25615,0.967,0.99774
neuron5,0.973,5813054053,octopamine,0.7685239315032959,octopamine,5813054053,978907009,IB,IB,20235,16011,20536,20226,16018,20542,0.973,0.996088
neuron5,0.986,5813054053,octopamine,0.4608539938926697,octopamine,5813054053,5812986197,AVLP(R),AVLP(R),7226,29858,22757,7239,29872,22747,0.986,0.987399
neuron5,0.959,5813054053,octopamine,0.5452986359596252,octopamine,5813054053,697580056,ICL(R),ICL(R),18849,22167,16719,18844,22183,16726,0.959,0.972694
neuron5,0.979,5813054053,octopamine,0.5105432271957397,octopamine,5813054053,1481548230,AVLP(R),AVLP(R),6060,27181,21810,6068,27175,21821,0.979,0.977047
neuron5,0.954,5813054053,octopamine,0.8771466612815857,octopamine,5813054053,1168193427,AVLP(R),AVLP(R),11149,24964,20435,11142,24953,20437,0.954,0.989976
neuron5,0.995,5813054053,octopamine,0.49830785393714905,octopamine,5813054053,1289920105,AVLP(R),AVLP(R),11899,27868,26731,11906,27874,26716,0.995,0.963087
neuron5,0.994,5813054053,octopamine,0.44585052132606506,octopamine,5813054053,1006560977,PLP(R),PLP(R),12364,16627,17736,12358,16610,17717,0.994,0.987214
neuron5,0.994,5813054053,octopamine,0.6187195777893066,octopamine,5813054053,5901222683,SCL(R),SCL(R),17158,20568,13679,17170,20573,13678,0.994,0.97216
neuron5,0.982,5813054053,octopamine,0.6747080683708191,octopamine,5813054053,1411737459,AVLP(R),AVLP(R),14220,28655,24803,14241,28665,24796,0.982,0.979161
neuron6,0.984,738155917,octopamine,0.5288946032524109,octopamine,738155917,2217833178,LO(R),LO(R),3712,18391,31215,3724,18372,31232,0.984,0.979575
neuron6,0.969,738155917,octopamine,0.49240902066230774,octopamine,738155917,944836835,LO(R),LO(R),4354,15522,28809,4359,15515,28815,0.969,0.999716
neuron6,0.964,738155917,octopamine,0.9002204537391663,octopamine,738155917,1932747680,LO(R),LO(R),6741,11419,27802,6731,11399,27812,0.964,0.998136
neuron6,0.979,738155917,octopamine,0.5937731266021729,octopamine,738155917,2093707981,LO(R),LO(R),3688,17739,30401,3700,17737,30404,0.979,0.983654
neuron6,0.992,738155917,octopamine,0.5338042378425598,octopamine,738155917,5813047992,LO(R),LO(R),5851,10935,27353,5839,10918,27373,0.992,0.992644
