conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
0.972,851459972,serotonin,0.9937525391578674,serotonin,851459972,294792311,SLP(R),SLP(R),14460,21790,4642,14471,21789,4650,0.972,0.99982
0.963,759810119,serotonin,0.9999954700469971,serotonin,759810119,327738661,SMP(L),SMP(L),34128,22335,4911,34126,22349,4904,0.963,0.981522
0.984,297230760,serotonin,0.9949435591697693,serotonin,297230760,550651224,SIP(R),SIP(R),14324,26483,5183,14329,26499,5192,0.984,0.952698
0.984,297230760,serotonin,0.9949435591697693,serotonin,297230760,266195616,SIP(R),SIP(R),14324,26483,5183,14330,26494,5169,0.984,0.967792
0.99,851459972,serotonin,0.9998055100440979,serotonin,851459972,5813002616,SMP(L),SMP(L),33491,22547,6065,33483,22552,6057,0.99,0.963554
0.977,759810119,serotonin,0.9969526529312134,serotonin,759810119,325472654,SLP(R),SLP(R),8060,20093,6332,8068,20101,6328,0.977,0.997973
0.989,759810119,serotonin,0.998985230922699,serotonin,759810119,948346463,SMP(L),SMP(L),33859,22765,6551,33860,22768,6537,0.989,0.996066
0.988,851459972,serotonin,0.9996541738510132,serotonin,851459972,5813046675,SMP(L),SMP(L),33531,22193,7394,33519,22192,7394,0.988,0.991778
0.988,851459972,serotonin,0.9996541738510132,serotonin,851459972,5813002620,SMP(L),SMP(L),33531,22193,7394,33523,22175,7394,0.988,0.986378
0.955,759810119,serotonin,0.997409999370575,serotonin,759810119,5813002690,SMP(L),SMP(L),33615,22920,7812,33593,22934,7811,0.955,0.950461
0.998,759810119,serotonin,0.9900452494621277,serotonin,759810119,510934715,LH(R),LH(R),5725,20183,8466,5737,20189,8459,0.998,0.982813
0.953,759810119,serotonin,0.9989163875579834,serotonin,759810119,574377845,LH(R),LH(R),6407,20244,8691,6397,20248,8691,0.953,0.974984
0.953,759810119,serotonin,0.9989163875579834,serotonin,759810119,574377562,LH(R),LH(R),6407,20244,8691,6408,20255,8691,0.953,0.99361
0.976,5813078603,serotonin,0.9970128536224365,serotonin,5813078603,454003707,SLP(R),SLP(R),12242,19098,8856,12227,19104,8855,0.976,0.998345
0.997,759810119,serotonin,0.9997379183769226,serotonin,759810119,5813010845,LH(R),LH(R),6134,18965,9071,6144,18951,9057,0.997,0.9595
0.992,759810119,serotonin,0.9964882135391235,serotonin,759810119,481946285,SLP(R),SLP(R),12991,16800,9460,12991,16793,9457,0.992,0.997025
0.994,1036637638,serotonin,0.9980278611183167,serotonin,1036637638,295478082,SMP(R),SMP(R),17402,20547,9464,17395,20564,9487,0.994,0.988832
0.996,1036637638,serotonin,0.9955173134803772,serotonin,1036637638,696617609,SMP(R),SMP(R),17347,22295,9497,17329,22303,9492,0.996,0.967241
0.996,1036637638,serotonin,0.9955173134803772,serotonin,1036637638,5813020696,SMP(R),SMP(R),17347,22295,9497,17341,22300,9477,0.996,0.960489
0.996,1036637638,serotonin,0.9955173134803772,serotonin,1036637638,545501062,SMP(R),SMP(R),17347,22295,9497,17337,22287,9492,0.996,0.994447
0.984,759810119,serotonin,0.9996060729026794,serotonin,759810119,668772585,SMP(L),SMP(L),33483,21706,9586,33485,21696,9604,0.984,0.987446
0.997,851459972,serotonin,0.9973452687263489,serotonin,851459972,327499164,LH(R),LH(R),5581,18032,9693,5578,18021,9696,0.997,0.989511
0.992,851459972,serotonin,0.992385745048523,serotonin,851459972,294760837,LH(R),LH(R),7423,18010,9722,7433,18004,9720,0.992,0.983893
0.984,759810119,serotonin,0.9995973706245422,serotonin,759810119,667474054,LH(R),LH(R),5779,20269,9767,5779,20281,9771,0.984,0.977611
0.965,851459972,serotonin,0.9914564490318298,serotonin,851459972,606703734,SMP(L),SMP(L),33110,21187,9831,33116,21186,9823,0.965,0.989819
0.982,759810119,serotonin,0.995596706867218,serotonin,759810119,424716408,LH(R),LH(R),5625,17014,9856,5620,16994,9856,0.982,0.955865
0.976,541697718,serotonin,0.9954580068588257,serotonin,541697718,5813020812,SLP(R),SLP(R),7469,16214,9866,7465,16217,9873,0.976,0.970705
0.966,759810119,serotonin,0.9908607006072998,serotonin,759810119,480258208,LH(R),LH(R),7541,19662,9942,7549,19654,9945,0.966,0.998654
0.988,759810119,serotonin,0.9966541528701782,serotonin,759810119,604429310,LH(R),LH(R),7646,18530,10037,7648,18539,10027,0.988,0.980511
0.988,759810119,serotonin,0.9966541528701782,serotonin,759810119,386825636,LH(R),LH(R),7646,18530,10037,7662,18537,10027,0.988,0.961959
0.988,759810119,serotonin,0.9966541528701782,serotonin,759810119,356467849,LH(R),LH(R),7646,18530,10037,7637,18535,10048,0.988,0.990942
0.96,851459972,serotonin,0.9917080998420715,serotonin,851459972,698452781,SMP(L),SMP(L),32824,20316,10498,32820,20330,10500,0.96,0.99082
0.985,759810119,serotonin,0.9992017149925232,serotonin,759810119,327499164,LH(R),LH(R),4925,16318,10758,4923,16316,10773,0.985,0.999296
0.97,851459972,serotonin,0.9952421188354492,serotonin,851459972,5813087551,LH(R),LH(R),6251,17087,11037,6264,17087,11032,0.97,0.998891
0.986,851459972,serotonin,0.9941685199737549,serotonin,851459972,604726283,LH(R),LH(R),6212,17179,11154,6201,17179,11159,0.986,0.951893
0.978,1036637638,serotonin,0.9994159936904907,serotonin,1036637638,5813020673,SMP(R),SMP(R),20485,18460,11172,20483,18467,11160,0.978,0.986905
0.962,851459972,serotonin,0.9933066964149475,serotonin,851459972,417186656,LH(R),LH(R),6468,17121,11265,6473,17126,11268,0.962,0.987347
0.985,919763043,serotonin,0.9989805817604065,serotonin,919763043,728460284,ATL(L),ATL(L),33844,18451,11296,33836,18456,11303,0.985,0.966567
0.97,759810119,serotonin,0.9960009455680847,serotonin,759810119,5813083717,LH(R),LH(R),6707,16770,11319,6715,16762,11315,0.97,0.981715
0.968,759810119,serotonin,0.9947444200515747,serotonin,759810119,5812981379,CA(R),CA(R),13846,15526,11337,13827,15536,11329,0.968,0.988621
0.968,759810119,serotonin,0.9947444200515747,serotonin,759810119,425790257,CA(R),CA(R),13846,15526,11337,13845,15545,11329,0.968,0.997726
0.976,759810119,serotonin,0.9976656436920166,serotonin,759810119,358515278,SLP(R),SLP(R),9337,15833,11364,9344,15821,11368,0.976,0.960639
0.976,759810119,serotonin,0.9976656436920166,serotonin,759810119,356503889,SLP(R),SLP(R),9337,15833,11364,9337,15828,11347,0.976,0.992384
0.971,541697718,serotonin,0.9934170246124268,serotonin,541697718,480997558,SLP(R),SLP(R),7438,15850,11494,7421,15848,11495,0.971,0.995976
0.993,759810119,serotonin,0.9985682964324951,serotonin,759810119,425790257,CA(R),CA(R),10661,13996,11561,10667,13987,11550,0.993,0.984302
0.972,759810119,serotonin,0.9944217801094055,serotonin,759810119,419548541,LH(R),LH(R),5673,16226,11838,5667,16214,11838,0.972,0.998106
0.973,759810119,serotonin,0.9938378930091858,serotonin,759810119,360578625,LH(R),LH(R),4491,16952,11981,4494,16941,11972,0.973,0.952041
0.973,759810119,serotonin,0.9938378930091858,serotonin,759810119,327499164,LH(R),LH(R),4491,16952,11981,4500,16948,11984,0.973,0.997219
0.995,851459972,serotonin,0.9999594688415527,serotonin,851459972,573695941,LH(R),LH(R),4659,15707,12566,4654,15705,12577,0.995,0.993651
0.99,919763043,serotonin,0.9960721731185913,serotonin,919763043,787563949,SMP(L),SMP(L),34159,18573,12617,34168,18573,12608,0.99,0.999051
0.99,919763043,serotonin,0.9960721731185913,serotonin,919763043,729815690,SMP(L),SMP(L),34159,18573,12617,34157,18562,12608,0.99,0.987137
0.994,759810119,serotonin,0.9998421669006348,serotonin,759810119,1734420152,LH(R),LH(R),7691,17564,12868,7694,17581,12861,0.994,0.988582
