neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron1,0.967,297230760,serotonin,0.7986586689949036,serotonin,297230760,329289084,SIP(R),SIP(R),16953,24052,5079,16967,24051,5087,0.967,0.996835
neuron1,0.967,297230760,serotonin,0.5620454549789429,serotonin,297230760,359215268,SIP(R),SIP(R),14317,27132,6708,14301,27124,6717,0.967,0.982889
neuron1,0.991,297230760,serotonin,0.7756215333938599,serotonin,297230760,294436967,SIP(R),SIP(R),15006,24666,5970,15012,24670,5975,0.991,0.999779
neuron1,0.987,297230760,serotonin,0.5401052832603455,serotonin,297230760,5813069498,SMP(R),SMP(R),17997,20971,6874,18018,20972,6871,0.987,0.993443
neuron1,0.997,297230760,serotonin,0.6006454229354858,serotonin,297230760,1670969304,SIP(R),SIP(R),15603,24688,8323,15596,24684,8311,0.997,0.992984
neuron1,0.987,297230760,serotonin,0.3909881114959717,serotonin,297230760,5813047019,SMP(R),SMP(R),18271,21259,7075,18277,21255,7080,0.987,0.995822
neuron1,0.986,297230760,serotonin,0.578922688961029,serotonin,297230760,5813021535,SIP(R),SIP(R),15660,30487,8526,15657,30504,8525,0.986,0.999953
neuron1,0.956,297230760,serotonin,0.5799315571784973,serotonin,297230760,267231479,SIP(R),SIP(R),14530,25862,5229,14515,25870,5233,0.956,0.995279
neuron1,0.999,297230760,serotonin,0.4338219165802002,serotonin,297230760,297498027,SIP(R),SIP(R),13369,27784,7591,13382,27785,7583,0.999,0.95816
neuron1,0.997,297230760,serotonin,0.6795557737350464,serotonin,297230760,329978745,SLP(R),SLP(R),12219,29842,10195,12224,29838,10180,0.997,0.975142
neuron1,0.972,297230760,serotonin,0.6800944805145264,serotonin,297230760,5813011756,SLP(R),SLP(R),9841,25123,7961,9836,25126,7963,0.972,0.997567
neuron1,0.979,297230760,serotonin,0.7260978817939758,serotonin,297230760,5813019732,,,20677,24965,14371,20687,24959,14364,0.979,0.999988
neuron1,0.976,297230760,serotonin,0.7402096390724182,serotonin,297230760,329215976,SLP(R),SLP(R),9614,24680,9051,9615,24686,9059,0.976,0.990686
neuron1,0.998,297230760,serotonin,0.48322275280952454,serotonin,297230760,296535868,SIP(R),SIP(R),15965,24604,6021,15982,24596,6026,0.998,0.989303
neuron1,0.99,297230760,serotonin,0.7257785797119141,serotonin,297230760,361105111,SMP(L),SMP(L),29621,26247,7698,29629,26235,7704,0.99,0.9777
neuron1,0.997,297230760,serotonin,0.6684936881065369,serotonin,297230760,388902666,SLP(R),SLP(R),11282,23135,8280,11269,23127,8286,0.997,0.990376
neuron1,0.981,297230760,serotonin,0.5974904298782349,serotonin,297230760,360090978,SMP(L),SMP(L),26824,26741,8911,26825,26755,8915,0.981,0.988804
neuron1,0.996,297230760,serotonin,0.9578213691711426,serotonin,297230760,800264315,SLP(R),SLP(R),13124,22983,7366,13118,22973,7379,0.996,0.983069
neuron1,0.989,297230760,serotonin,0.8059511780738831,serotonin,297230760,361968122,SLP(R),SLP(R),13025,25823,6496,13012,25818,6498,0.989,0.999437
neuron1,0.962,297230760,serotonin,0.4290362596511841,serotonin,297230760,329928204,SIP(R),SIP(R),15514,26386,5616,15510,26389,5640,0.962,0.95769
neuron1,0.994,297230760,serotonin,0.4917023479938507,serotonin,297230760,5813021535,SLP(R),SLP(R),11091,20810,8731,11086,20812,8721,0.994,0.979049
neuron1,0.989,297230760,serotonin,0.4911925494670868,serotonin,297230760,361312808,,,23824,24542,14143,23824,24558,14143,0.989,0.996159
neuron1,0.968,297230760,serotonin,0.49517837166786194,serotonin,297230760,299613480,SIP(R),SIP(R),15570,23199,5233,15558,23196,5253,0.968,0.990098
neuron1,0.983,297230760,serotonin,0.7564825415611267,serotonin,297230760,298918680,SIP(R),SIP(R),14706,26201,5221,14693,26202,5231,0.983,0.977688
neuron1,0.993,297230760,serotonin,0.8642278909683228,serotonin,297230760,329566197,SLP(R),SLP(R),11552,21878,8100,11560,21862,8104,0.993,0.995558
neuron1,0.988,297230760,serotonin,0.4878355860710144,serotonin,297230760,5813009391,SLP(R),SLP(R),14628,22481,4655,14643,22463,4668,0.988,0.991815
neuron1,0.998,297230760,serotonin,0.5850175023078918,serotonin,297230760,5812980079,SLP(R),SLP(R),12906,23196,4875,12914,23179,4866,0.998,0.98864
neuron1,0.974,297230760,serotonin,0.7634397745132446,serotonin,297230760,5813012028,SIP(R),SIP(R),14547,26139,8393,14542,26138,8385,0.974,0.996219
