neurotransmitter,neuron_class,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
acetylcholine,neuron1,13476,17385715932,29331,29461,21743,21873,21863,21993,29396,21808,21928,29384,21806,21916,False
acetylcholine,neuron1,13476,14537881844,27964,28094,25721,25851,18452,18582,28029,25786,18517,28032,25790,18493,False
acetylcholine,neuron1,13476,11258616223,28327,28457,25833,25963,14038,14168,28392,25898,14103,28410,25860,14101,False
acetylcholine,neuron1,13476,12475454049,27359,27489,24230,24360,15806,15936,27424,24295,15871,27442,24274,15861,False
acetylcholine,neuron1,13476,12468339321,27159,27289,22733,22863,15938,16068,27224,22798,16003,27233,22815,16010,False
acetylcholine,neuron1,13476,11060,28195,28325,25197,25327,18158,18288,28260,25262,18223,28271,25259,18241,False
acetylcholine,neuron1,13476,10020362070,27050,27180,24793,24923,12913,13043,27115,24858,12978,27126,24847,12946,False
acetylcholine,neuron1,13476,13265,28280,28410,25847,25977,13993,14123,28345,25912,14058,28333,25916,14071,False
acetylcholine,neuron1,13476,12896538091,29020,29150,25375,25505,16254,16384,29085,25440,16319,29083,25445,16338,False
acetylcholine,neuron1,13476,15285,26698,26828,26277,26407,13427,13557,26763,26342,13492,26782,26342,13491,False
acetylcholine,neuron1,13476,13306856118,28449,28579,25631,25761,16802,16932,28514,25696,16867,28519,25712,16877,False
acetylcholine,neuron1,13476,14948197724,27396,27526,25481,25611,19053,19183,27461,25546,19118,27471,25534,19113,False
acetylcholine,neuron1,13476,14537882760,27964,28094,25721,25851,18452,18582,28029,25786,18517,28051,25759,18510,False
acetylcholine,neuron1,13476,12857350507,25634,25764,19748,19878,16148,16278,25699,19813,16213,25683,19808,16221,False
acetylcholine,neuron1,13476,11255000048,27632,27762,25741,25871,14121,14251,27697,25806,14186,27674,25792,14210,False
acetylcholine,neuron1,13476,18588,28113,28243,24591,24721,18490,18620,28178,24656,18555,28198,24690,18565,False
acetylcholine,neuron1,13476,12875155657,27142,27272,22723,22853,15996,16126,27207,22788,16061,27214,22773,16069,False
acetylcholine,neuron1,13476,11926,27169,27299,22826,22956,15896,16026,27234,22891,15961,27258,22903,15971,False
acetylcholine,neuron1,13476,11665399531,28101,28231,25087,25217,15035,15165,28166,25152,15100,28168,25178,15077,False
acetylcholine,neuron1,13476,10513,29005,29135,26247,26377,15716,15846,29070,26312,15781,29088,26310,15781,False
acetylcholine,neuron1,13476,12061560859,27667,27797,23414,23544,15396,15526,27732,23479,15461,27747,23475,15421,False
acetylcholine,neuron1,13476,15808,28625,28755,25183,25313,16875,17005,28690,25248,16940,28688,25261,16949,False
acetylcholine,neuron1,13476,13167,28735,28865,26294,26424,12688,12818,28800,26359,12753,28812,26368,12757,False
acetylcholine,neuron1,13476,158452,27050,27180,24793,24923,12913,13043,27115,24858,12978,27116,24846,12992,False
