neurotransmitter,neuron_class,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
glutamate,neuron1,154692,31807290399,16931,17061,30237,30367,39851,39981,16996,30302,39916,17002,30296,39955,False
glutamate,neuron1,154692,23921,15010,15140,35779,35909,33490,33620,15075,35844,33555,15088,35871,33572,False
glutamate,neuron1,154692,12709,15993,16123,24762,24892,35632,35762,16058,24827,35697,16041,24833,35698,False
glutamate,neuron1,154692,11750,17202,17332,30655,30785,31141,31271,17267,30720,31206,17284,30706,31203,False
glutamate,neuron1,154692,33441784777,18560,18690,29606,29736,41824,41954,18625,29671,41889,18642,29700,41886,False
glutamate,neuron1,154692,29780074557,14315,14445,33923,34053,37016,37146,14380,33988,37081,14357,33997,37087,False
glutamate,neuron1,154692,449233219808,18820,18950,28217,28347,40953,41083,18885,28282,41018,18895,28284,41033,False
glutamate,neuron1,154692,12685,16132,16262,31342,31472,38544,38674,16197,31407,38609,16182,31420,38630,False
glutamate,neuron1,154692,26483245076,16099,16229,31858,31988,33043,33173,16164,31923,33108,16182,31957,33080,False
glutamate,neuron1,154692,27300061999,11691,11821,31463,31593,33814,33944,11756,31528,33879,11772,31550,33904,False
glutamate,neuron1,154692,10440,17654,17784,30057,30187,38582,38712,17719,30122,38647,17718,30137,38670,False
glutamate,neuron1,154692,27738875017,13695,13825,35837,35967,34440,34570,13760,35902,34505,13741,35936,34505,False
glutamate,neuron1,154692,14894,18529,18659,29239,29369,31804,31934,18594,29304,31869,18580,29278,31863,False
glutamate,neuron1,154692,10841,15990,16120,31848,31978,33381,33511,16055,31913,33446,16080,31893,33460,False
glutamate,neuron1,154692,25234695315,18578,18708,29283,29413,31677,31807,18643,29348,31742,18628,29372,31758,False
glutamate,neuron1,154692,16930,18442,18572,28912,29042,32197,32327,18507,28977,32262,18546,28954,32277,False
glutamate,neuron1,154692,26483132615,14602,14732,31852,31982,33409,33539,14667,31917,33474,14650,31919,33457,False
glutamate,neuron1,154692,17046,14420,14550,34503,34633,34034,34164,14485,34568,34099,14485,34551,34093,False
glutamate,neuron1,154692,25241528318,15708,15838,30274,30404,31323,31453,15773,30339,31388,15759,30324,31421,False
glutamate,neuron1,154692,10221,20725,20855,30293,30423,43360,43490,20790,30358,43425,20797,30358,43452,False
glutamate,neuron1,154692,30172742122,14233,14363,31602,31732,37525,37655,14298,31667,37590,14326,31666,37606,False
glutamate,neuron1,154692,26451646823,19026,19156,27458,27588,33154,33284,19091,27523,33219,19116,27534,33228,False
glutamate,neuron1,154692,26451608871,19104,19234,27478,27608,33044,33174,19169,27543,33109,19148,27544,33103,False
glutamate,neuron1,154692,23492,15685,15815,31917,32047,38982,39112,15750,31982,39047,15720,31985,39037,False
glutamate,neuron1,154692,26458722355,19318,19448,28645,28775,33222,33352,19383,28710,33287,19389,28730,33276,False
glutamate,neuron1,154692,30537268127,16016,16146,24925,25055,38213,38343,16081,24990,38278,16084,25006,38312,False
glutamate,neuron1,154692,30548082360,18926,19056,26335,26465,38427,38557,18991,26400,38492,19010,26400,38480,False
