neurotransmitter,neuron_class,bodyId_pre,bodyId_post,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
acetylcholine,neuron1,13476,17385715932,LegNp(T3)(R),29396,21808,21928,29384,21806,21916,0.977,0.998004
acetylcholine,neuron1,13476,14537881844,LegNp(T3)(R),28029,25786,18517,28032,25790,18493,0.986,0.977846
acetylcholine,neuron1,13476,11258616223,LegNp(T3)(R),28392,25898,14103,28410,25860,14101,0.974,0.987635
acetylcholine,neuron1,13476,12475454049,LegNp(T3)(R),27424,24295,15871,27442,24274,15861,0.975,0.864115
acetylcholine,neuron1,13476,12468339321,LegNp(T3)(R),27224,22798,16003,27233,22815,16010,0.981,0.98702
acetylcholine,neuron1,13476,11060,LegNp(T3)(R),28260,25262,18223,28271,25259,18241,0.984,0.999993
acetylcholine,neuron1,13476,10020362070,LegNp(T3)(R),27115,24858,12978,27126,24847,12946,0.975,0.598015
acetylcholine,neuron1,13476,13265,LegNp(T3)(R),28345,25912,14058,28333,25916,14071,0.985,0.999993
acetylcholine,neuron1,13476,12896538091,LegNp(T3)(R),29085,25440,16319,29083,25445,16338,0.98,0.997801
acetylcholine,neuron1,13476,15285,LegNp(T3)(R),26763,26342,13492,26782,26342,13491,0.979,1.0
acetylcholine,neuron1,13476,13306856118,LegNp(T3)(R),28514,25696,16867,28519,25712,16877,0.972,1.0
acetylcholine,neuron1,13476,14948197724,LegNp(T3)(R),27461,25546,19118,27471,25534,19113,0.971,1.0
acetylcholine,neuron1,13476,14537882760,LegNp(T3)(R),28029,25786,18517,28051,25759,18510,0.986,0.526345
acetylcholine,neuron1,13476,12857350507,LegNp(T3)(R),25699,19813,16213,25683,19808,16221,0.975,0.999905
acetylcholine,neuron1,13476,11255000048,LegNp(T3)(R),27697,25806,14186,27674,25792,14210,0.976,0.507383
acetylcholine,neuron1,13476,18588,LegNp(T3)(R),28178,24656,18555,28198,24690,18565,0.98,0.420305
acetylcholine,neuron1,13476,12875155657,LegNp(T3)(R),27207,22788,16061,27214,22773,16069,0.971,0.999959
acetylcholine,neuron1,13476,11926,LegNp(T3)(R),27234,22891,15961,27258,22903,15971,0.972,0.865259
acetylcholine,neuron1,13476,11665399531,LegNp(T3)(R),28166,25152,15100,28168,25178,15077,0.978,0.586933
acetylcholine,neuron1,13476,10513,LegNp(T3)(R),29070,26312,15781,29088,26310,15781,0.981,1.0
acetylcholine,neuron1,13476,12061560859,LegNp(T3)(R),27732,23479,15461,27747,23475,15421,0.971,0.36468
acetylcholine,neuron1,13476,15808,LegNp(T3)(R),28690,25248,16940,28688,25261,16949,0.978,1.0
acetylcholine,neuron1,13476,13167,LegNp(T3)(R),28800,26359,12753,28812,26368,12757,0.976,1.0
acetylcholine,neuron1,13476,158452,LegNp(T3)(R),27115,24858,12978,27116,24846,12992,0.975,1.0
acetylcholine,neuron1,13476,14912698301,LegNp(T3)(R),26137,20162,18672,26128,20146,18678,0.98,0.991094
acetylcholine,neuron1,13476,11223085726,LegNp(T3)(R),26648,20906,14213,26620,20900,14217,0.971,0.852069
acetylcholine,neuron1,13476,12896536676,LegNp(T3)(R),29072,25422,16116,29073,25394,16130,0.981,0.567029
acetylcholine,neuron1,13476,11223085140,LegNp(T3)(R),26648,20906,14213,26648,20875,14217,0.971,0.665584
acetylcholine,neuron1,13476,15285,LegNp(T3)(R),27314,26540,13888,27309,26530,13913,0.981,0.879538
acetylcholine,neuron1,13476,10231,LegNp(T3)(R),28022,24204,15051,28008,24193,15054,0.972,0.999988
acetylcholine,neuron1,13476,10231,LegNp(T3)(R),29724,25683,15103,29746,25643,15096,0.974,0.326114
acetylcholine,neuron1,13476,27276,LegNp(T3)(R),27427,24282,15898,27418,24268,15888,0.984,0.999979
acetylcholine,neuron1,13476,15150,LegNp(T3)(R),28408,25785,13920,28418,25773,13943,0.974,0.910713
acetylcholine,neuron1,13476,11926,LegNp(T3)(R),27926,25929,17901,27903,25923,17899,0.971,0.892804
acetylcholine,neuron1,13476,9620541382,LegNp(T3)(R),25898,26425,12405,25918,26427,12399,0.978,1.0
acetylcholine,neuron1,13476,13685176811,LegNp(T3)(R),25924,20683,17476,25915,20666,17477,0.973,0.950081
acetylcholine,neuron1,13476,20891,LegNp(T3)(R),28391,25820,13893,28400,25860,13899,0.982,0.616715
acetylcholine,neuron1,13476,13167,LegNp(T3)(R),27620,25926,14015,27621,25937,14002,0.978,1.0
acetylcholine,neuron1,13476,25841,LegNp(T3)(R),26182,20192,18584,26191,20174,18560,0.971,0.486399
acetylcholine,neuron1,13476,13306931578,LegNp(T3)(R),29438,25416,17107,29455,25388,17115,0.977,0.497797
acetylcholine,neuron1,13476,10677,LegNp(T3)(R),28585,26346,12559,28571,26355,12561,0.971,1.0
acetylcholine,neuron1,13476,12468382082,LegNp(T3)(R),27246,22870,15998,27262,22868,16023,0.973,0.805872
acetylcholine,neuron1,13476,13299777354,LegNp(T3)(R),28439,24718,16942,28423,24711,16945,0.982,1.0
acetylcholine,neuron1,13476,23517,LegNp(T3)(R),28745,23898,21672,28753,23935,21669,0.976,0.512073
acetylcholine,neuron1,13476,26473,LegNp(T3)(R),29095,26374,14432,29105,26388,14443,0.977,0.994007
acetylcholine,neuron1,13476,14131063849,LegNp(T3)(R),27926,25929,17901,27900,25898,17899,0.971,0.396728
acetylcholine,neuron1,13476,13306891957,LegNp(T3)(R),29913,25649,17292,29930,25642,17296,0.981,1.0
acetylcholine,neuron1,13476,11262197551,LegNp(T3)(R),29012,26298,14340,29004,26313,14349,0.984,0.978164
acetylcholine,neuron1,13476,13303317911,LegNp(T3)(R),28669,25214,16852,28638,25201,16829,0.98,0.291958
acetylcholine,neuron1,13476,12457722746,LegNp(T3)(R),26960,21236,15518,26950,21204,15527,0.971,0.512199
acetylcholine,neuron2,14411,15001,LegNp(T1)(L),14562,33716,48038,14534,33745,48059,0.976,0.216636
acetylcholine,neuron2,14411,11792,LegNp(T1)(L),16685,34848,54360,16668,34847,54358,0.978,0.999841
acetylcholine,neuron2,14411,40452837122,LegNp(T1)(L),13792,34731,50964,13803,34720,50995,0.971,0.474296
acetylcholine,neuron2,14411,39211197730,LegNp(T1)(L),14578,33336,48954,14611,33340,48971,0.978,0.590143
acetylcholine,neuron2,14411,11780,LegNp(T1)(L),16914,34141,53771,16916,34122,53790,0.975,0.997273
acetylcholine,neuron2,14411,42515258077,LegNp(T1)(L),14669,36050,52940,14674,36010,52958,0.985,0.485309
acetylcholine,neuron2,14411,14389,LegNp(T1)(L),15424,37518,54614,15413,37504,54621,0.973,1.0
acetylcholine,neuron2,14411,42115634653,LegNp(T1)(L),16343,37872,52412,16349,37886,52400,0.972,0.996574
acetylcholine,neuron2,14411,22931,LegNp(T1)(L),16548,33862,47676,16536,33870,47692,0.982,0.968501
acetylcholine,neuron2,14411,91876,LegNp(T1)(L),14610,35682,52632,14596,35667,52643,0.984,0.961015
acetylcholine,neuron2,14411,14420,LegNp(T1)(L),13339,33700,49105,13340,33717,49102,0.982,1.0
acetylcholine,neuron2,14411,42918694562,LegNp(T1)(L),16625,34976,53392,16624,34995,53391,0.978,0.997911
acetylcholine,neuron2,14411,11744,LegNp(T1)(L),16632,34815,54442,16626,34813,54426,0.981,1.0
acetylcholine,neuron2,14411,22739,LegNp(T1)(L),13984,36209,53456,13944,36216,53436,0.98,0.3058
acetylcholine,neuron2,14411,39200586742,LegNp(T1)(L),14937,31406,49026,14943,31421,49017,0.978,1.0
acetylcholine,neuron2,14411,44973967819,LegNp(T1)(L),16265,35392,56064,16275,35415,56067,0.973,0.448296
acetylcholine,neuron2,14411,38807839433,LegNp(T1)(L),13665,34118,48399,13640,34090,48397,0.979,0.281828
acetylcholine,neuron2,14411,37987372542,LegNp(T1)(L),16548,33862,47676,16553,33882,47647,0.982,0.229845
acetylcholine,neuron2,14411,38793809617,LegNp(T1)(L),15114,32026,48816,15098,32036,48813,0.98,0.998267
acetylcholine,neuron2,14411,11744,LegNp(T1)(L),14554,34179,47814,14551,34200,47810,0.977,0.993586
acetylcholine,neuron2,14411,37990752328,LegNp(T1)(L),14417,34574,47662,14436,34574,47674,0.978,0.988884
acetylcholine,neuron2,14411,10555,LegNp(T1)(L),13262,32350,49360,13242,32373,49360,0.973,0.622298
