neuron_class,gt_neurotransmitter,max_nt_value,conf,body,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
neuron1,acetylcholine,0.9992656111717224,0.982,573333835,573333835,1415829574,22858.5,22888.5,30568.5,30598.5,26797.0,26827.0,22870,30578,26820,22877,30589,26804,False
neuron1,acetylcholine,0.9999232292175292,0.983,573333835,573333835,909372586,14732.5,14762.5,13628.5,13658.5,14024.5,14054.5,14749,13641,14046,14746,13646,14033,False
neuron1,acetylcholine,0.991448700428009,0.984,573333835,573333835,5812983328,17254.0,17284.0,12908.5,12938.5,12498.5,12528.5,17279,12922,12514,17259,12925,12513,False
neuron1,acetylcholine,0.9999998807907104,0.984,573333835,573333835,332353566,12903.5,12933.5,13005.0,13035.0,11607.5,11637.5,12910,13028,11618,12927,13012,11627,False
neuron1,acetylcholine,0.9998574256896972,0.998,573333835,573333835,570314896,10999.5,11029.5,14553.0,14583.0,11734.0,11764.0,11014,14573,11743,11015,14563,11755,False
neuron1,acetylcholine,0.9999673366546632,0.976,573333835,573333835,579592619,14657.0,14687.0,13668.5,13698.5,13964.0,13994.0,14669,13696,13986,14675,13671,13972,False
neuron1,acetylcholine,0.967935025691986,0.991,573333835,573333835,5813010159,3782.0,3812.0,19609.0,19639.0,8838.0,8868.0,3804,19634,8854,3790,19614,8852,False
neuron1,acetylcholine,0.999975323677063,0.967,573333835,573333835,548552915,16269.0,16299.0,13675.0,13705.0,14031.0,14061.0,16280,13680,14039,16288,13700,14053,False
neuron1,acetylcholine,0.9883728623390198,0.99,573333835,573333835,5813046968,4185.5,4215.5,19283.0,19313.0,9320.0,9350.0,4209,19300,9342,4192,19296,9328,False
neuron1,acetylcholine,0.9831243753433228,0.98,573333835,573333835,1141630854,16072.5,16102.5,13580.0,13610.0,13936.5,13966.5,16091,13592,13958,16084,13598,13945,False
neuron1,acetylcholine,0.9985083937644958,0.957,573333835,573333835,1794447723,22983.0,23013.0,28472.0,28502.0,25734.0,25764.0,22990,28487,25745,23006,28487,25753,False
neuron1,acetylcholine,1.0,0.981,573333835,573333835,5813087798,10897.0,10927.0,13548.0,13578.0,11617.5,11647.5,10912,13567,11625,10912,13559,11640,False
neuron1,acetylcholine,0.9652440547943116,0.986,573333835,573333835,390271033,7452.5,7482.5,20306.0,20336.0,11999.0,12029.0,7463,20334,12001,7472,20308,12027,False
neuron1,acetylcholine,0.9999761581420898,0.959,573333835,573333835,5812979197,13019.0,13049.0,12416.0,12446.0,12486.0,12516.0,13047,12431,12502,13021,12431,12500,False
neuron1,acetylcholine,0.9999784231185912,0.972,573333835,573333835,1610530558,23040.5,23070.5,28823.0,28853.0,25803.5,25833.5,23062,28829,25811,23049,28847,25826,False
neuron2,acetylcholine,0.951586902141571,0.978,5901222910,5901222910,5813130064,23201.5,23231.5,31165.5,31195.5,26868.5,26898.5,23217,31187,26879,23216,31174,26888,False
neuron2,acetylcholine,0.9915191531181335,0.989,5901222910,5901222910,604735824,5504.0,5534.0,17661.0,17691.0,9586.5,9616.5,5507,17673,9603,5531,17679,9600,False
neuron2,acetylcholine,0.9971146583557128,0.98,5901222910,5901222910,359214479,5957.0,5987.0,18847.5,18877.5,11721.5,11751.5,5981,18854,11737,5963,18871,11736,False
neuron2,acetylcholine,0.8198580741882324,0.988,5901222910,5901222910,511267279,4093.5,4123.5,17815.0,17845.0,8665.5,8695.5,4114,17838,8673,4103,17822,8688,False
neuron2,acetylcholine,0.9999481439590454,0.974,5901222910,5901222910,1141346462,16411.0,16441.0,13214.0,13244.0,13800.5,13830.5,16426,13218,13811,16426,13240,13820,False
neuron2,acetylcholine,0.9978331923484802,0.977,5901222910,5901222910,548872750,16374.0,16404.0,13168.0,13198.0,13934.0,13964.0,16378,13178,13951,16400,13188,13947,False
neuron2,acetylcholine,0.9912746548652648,0.975,5901222910,5901222910,480590566,7650.0,7680.0,20505.5,20535.5,11062.0,11092.0,7662,20529,11069,7668,20512,11085,False
neuron2,acetylcholine,0.9448347091674804,0.98,5901222910,5901222910,668144344,6579.5,6609.5,19406.5,19436.5,10988.5,11018.5,6605,19423,10999,6584,19420,11008,False
neuron2,acetylcholine,0.99379163980484,0.965,5901222910,5901222910,478613576,8800.0,8830.0,18219.0,18249.0,11420.5,11450.5,8823,18242,11436,8807,18226,11435,False
neuron2,acetylcholine,0.995186984539032,0.991,5901222910,5901222910,5813098080,6167.0,6197.0,18813.0,18843.0,11697.0,11727.0,6179,18836,11720,6185,18820,11704,False
neuron2,acetylcholine,0.9982563853263856,0.985,5901222910,5901222910,424384254,3171.0,3201.0,20287.0,20317.0,14375.5,14405.5,3185,20298,14379,3187,20306,14402,False
neuron2,acetylcholine,0.9959677457809448,0.976,5901222910,5901222910,480590566,5468.0,5498.0,17675.0,17705.0,9510.0,9540.0,5473,17685,9525,5493,17695,9525,False
neuron2,acetylcholine,0.9999954700469972,0.979,5901222910,5901222910,5812982316,13099.5,13129.5,12411.5,12441.5,11819.0,11849.0,13110,12436,11845,13119,12417,11823,False
neuron2,acetylcholine,0.9967706203460692,0.954,5901222910,5901222910,5813104096,14996.0,15026.0,11987.0,12017.0,13558.0,13588.0,15013,12004,13563,15009,12000,13583,False
neuron2,acetylcholine,0.9662683010101318,0.988,5901222910,5901222910,329215923,4082.5,4112.5,20956.5,20986.5,8862.0,8892.0,4107,20969,8873,4088,20974,8881,False
