neuron_class,gt_neurotransmitter,max_nt_value,conf,body,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
neuron1,gaba,0.8843741416931152,0.993,480590566,480590566,294436967,8113.5,8143.5,16100.5,16130.5,13473.5,13503.5,8135,16114,13487,8122,16117,13490,False
neuron1,gaba,0.9691250920295716,0.981,480590566,480590566,361968122,7180.0,7210.0,17998.0,18028.0,10803.5,10833.5,7208,18013,10822,7182,18013,10815,False
neuron1,gaba,0.6337454915046692,0.994,480590566,480590566,635062078,13557.0,13587.0,11912.5,11942.5,10851.5,10881.5,13565,11928,10853,13579,11927,10880,False
neuron1,gaba,0.9691821932792664,0.986,480590566,480590566,1818307672,14036.5,14066.5,15769.5,15799.5,10401.0,10431.0,14060,15781,10415,14043,15788,10417,False
neuron1,gaba,0.9037709832191468,0.97,480590566,480590566,730537677,6303.0,6333.0,17946.0,17976.0,12070.5,12100.5,6325,17967,12083,6311,17955,12088,False
neuron1,gaba,0.9992233514785768,0.978,480590566,480590566,1162063500,13519.5,13549.5,13163.5,13193.5,12005.5,12035.5,13533,13170,12025,13536,13187,12016,False
neuron1,gaba,0.9612957239151,0.958,480590566,480590566,5813034571,3649.5,3679.5,21602.0,21632.0,12909.5,12939.5,3673,21612,12926,3656,21622,12923,False
neuron1,gaba,0.9112334251403807,0.988,480590566,480590566,1640594274,7245.0,7275.0,20425.0,20455.0,9719.0,9749.0,7258,20451,9739,7262,20429,9729,False
neuron1,gaba,0.9969809651374816,0.99,480590566,480590566,1850706912,4016.5,4046.5,20306.0,20336.0,12789.5,12819.5,4025,20321,12809,4038,20321,12800,False
neuron1,gaba,0.8937566876411438,0.958,480590566,480590566,5813060614,16683.0,16713.0,13323.0,13353.0,12383.5,12413.5,16699,13350,12395,16697,13326,12402,False
neuron1,gaba,0.6944859623908997,0.983,480590566,480590566,421310144,5812.5,5842.5,19618.5,19648.5,12259.0,12289.0,5830,19630,12282,5825,19637,12266,False
neuron1,gaba,0.9279349446296692,0.992,480590566,480590566,754854077,3926.5,3956.5,16636.5,16666.5,12796.0,12826.0,3938,16660,12803,3945,16643,12819,False
neuron1,gaba,0.9395385384559632,0.987,480590566,480590566,1827861966,14165.5,14195.5,15633.5,15663.5,12696.0,12726.0,14167,15635,12715,14194,15662,12707,False
neuron1,gaba,0.9771833419799804,0.984,480590566,480590566,581633934,14568.5,14598.5,14351.0,14381.0,12129.5,12159.5,14588,14374,12150,14579,14358,12139,False
neuron1,gaba,0.9996365308761596,0.993,480590566,480590566,910063307,15348.5,15378.5,12974.5,13004.5,11466.0,11496.0,15352,12986,11478,15375,12993,11484,False
neuron2,gaba,0.9437625408172609,0.972,425790257,425790257,693846112,15706.5,15736.5,14141.5,14171.5,11709.5,11739.5,15725,14150,11729,15718,14163,11720,False
neuron2,gaba,0.6482187509536743,0.988,425790257,425790257,1130687130,13101.0,13131.0,23862.0,23892.0,17525.5,17555.5,13122,23881,17533,13110,23873,17548,False
neuron2,gaba,0.7836713194847107,0.999,425790257,425790257,1313496027,14945.0,14975.0,27395.0,27425.0,19064.0,19094.0,14964,27402,19085,14956,27418,19073,False
neuron2,gaba,0.3361937999725342,0.993,425790257,425790257,1882083076,15365.0,15395.0,13749.5,13779.5,12694.5,12724.5,15369,13765,12718,15391,13764,12701,False
neuron2,gaba,0.8439909815788269,0.981,425790257,425790257,5813069096,11953.0,11983.0,14244.5,14274.5,9792.5,9822.5,11964,14265,9816,11972,14254,9799,False
neuron2,gaba,0.9991600513458252,0.96,425790257,425790257,1016459595,11991.5,12021.5,14368.5,14398.5,11972.5,12002.5,11998,14391,11993,12015,14376,11982,False
neuron2,gaba,0.9062409996986388,0.989,425790257,425790257,5813021273,16900.0,16930.0,34207.5,34237.5,19000.5,19030.5,16915,34210,19016,16915,34235,19015,False
neuron2,gaba,0.6264100074768066,0.976,425790257,425790257,799586652,21494.0,21524.0,30842.5,30872.5,17364.5,17394.5,21506,30867,17380,21512,30848,17379,False
neuron2,gaba,0.743079423904419,0.991,425790257,425790257,880404940,14062.5,14092.5,27498.5,27528.5,17340.0,17370.0,14071,27518,17349,14084,27509,17361,False
neuron2,gaba,0.9933979511260986,0.957,425790257,425790257,5813053935,23364.5,23394.5,30881.5,30911.5,18259.0,18289.0,23376,30898,18284,23383,30895,18264,False
neuron2,gaba,0.9990745782852172,0.997,425790257,425790257,662763904,12797.0,12827.0,30371.5,30401.5,18567.0,18597.0,12803,30384,18578,12821,30389,18586,False
neuron2,gaba,0.985687792301178,0.991,425790257,425790257,540730657,23689.0,23719.0,33182.5,33212.5,19367.5,19397.5,23699,33209,19378,23709,33186,19387,False
neuron2,gaba,0.5359761714935303,0.994,425790257,425790257,661407917,15243.5,15273.5,31557.0,31587.0,17086.5,17116.5,15251,31578,17106,15266,31566,17097,False
neuron2,gaba,0.8962417840957642,0.985,425790257,425790257,5813078323,18718.0,18748.0,31716.0,31746.0,17928.0,17958.0,18738,31736,17950,18728,31726,17936,False
neuron2,gaba,0.90894216299057,0.984,425790257,425790257,508918609,21959.0,21989.0,27475.5,27505.5,18896.5,18926.5,21981,27488,18906,21967,27493,18917,False
neuron3,gaba,0.9973886609077454,0.986,5813075020,5813075020,5813054085,13897.0,13927.0,12785.5,12815.5,13085.0,13115.0,13902,12793,13095,13922,12808,13105,False
neuron3,gaba,0.991338849067688,0.952,5813075020,5813075020,5813021856,12265.0,12295.0,13769.5,13799.5,10058.5,10088.5,12277,13788,10085,12283,13781,10062,False
neuron3,gaba,0.9370654225349426,0.972,5813075020,5813075020,415848195,13331.5,13361.5,15245.0,15275.0,10021.5,10051.5,13343,15248,10041,13350,15272,10032,False
neuron3,gaba,0.9913722276687622,0.971,5813075020,5813075020,517510393,15721.5,15751.5,13738.5,13768.5,10875.0,10905.0,15736,13754,10879,15737,13753,10901,False
neuron3,gaba,0.90433669090271,0.966,5813075020,5813075020,1204443547,14096.0,14126.0,12136.5,12166.5,11929.0,11959.0,14117,12153,11935,14105,12150,11953,False
neuron3,gaba,0.998508870601654,0.996,5813075020,5813075020,5812982589,13524.5,13554.5,14423.5,14453.5,11982.0,12012.0,13536,14448,11991,13543,14429,12003,False
neuron3,gaba,0.9704660773277284,0.988,5813075020,5813075020,5813021380,11543.0,11573.0,15042.5,15072.5,11259.5,11289.5,11553,15069,11271,11563,15046,11278,False
neuron3,gaba,0.998508870601654,0.996,5813075020,5813075020,5813022207,13520.5,13550.5,14425.0,14455.0,11966.5,11996.5,13536,14448,11991,13535,14432,11972,False
neuron3,gaba,0.7859277129173279,0.967,5813075020,5813075020,5812983042,16815.0,16845.0,13840.5,13870.5,12441.0,12471.0,16835,13864,12452,16825,13847,12460,False
neuron3,gaba,0.6496955752372742,0.992,5813075020,5813075020,1141342299,16515.5,16545.5,14781.0,14811.0,10202.5,10232.5,16529,14801,10226,16532,14791,10209,False
neuron3,gaba,0.999578297138214,0.974,5813075020,5813075020,509013752,16689.5,16719.5,13453.5,13483.5,10523.0,10553.0,16711,13458,10536,16698,13479,10540,False
neuron3,gaba,0.9981202483177184,0.979,5813075020,5813075020,1129323248,16775.5,16805.5,14456.5,14486.5,10564.5,10594.5,16796,14463,10573,16785,14480,10586,False
neuron3,gaba,0.9966335892677308,0.979,5813075020,5813075020,5813020132,12928.0,12958.0,14512.0,14542.0,12744.5,12774.5,12953,14524,12769,12933,14530,12750,False
neuron3,gaba,0.9876748323440552,0.99,5813075020,5813075020,1068954391,15619.5,15649.5,14679.5,14709.5,11687.5,11717.5,15645,14688,11702,15624,14701,11703,False
neuron3,gaba,0.9953195452690125,0.966,5813075020,5813075020,540730657,17022.5,17052.5,13913.0,13943.0,11001.5,11031.5,17046,13928,11027,17029,13928,11006,False
neuron4,gaba,0.954820156097412,0.989,610274029,610274029,549219101,17145.5,17175.5,29953.5,29983.5,12133.5,12163.5,17157,29967,12144,17164,29970,12153,False
neuron4,gaba,0.9313615560531616,0.995,610274029,610274029,423748579,14763.0,14793.0,27588.5,27618.5,9586.0,9616.0,14772,27607,9589,14784,27600,9613,False
neuron4,gaba,0.968539297580719,0.998,610274029,610274029,423748579,15542.5,15572.5,24981.5,25011.5,9367.5,9397.5,15549,24998,9379,15566,24995,9386,False
neuron4,gaba,0.9564512372016908,0.993,610274029,610274029,1316245799,7043.5,7073.5,18206.5,18236.5,16139.0,16169.0,7069,18229,16154,7048,18214,16154,False
neuron4,gaba,0.7757474184036255,0.995,610274029,610274029,328861282,14886.5,14916.5,27041.0,27071.0,9752.0,9782.0,14893,27053,9761,14910,27059,9773,False
neuron4,gaba,0.9673887491226196,0.994,610274029,610274029,327499164,16986.5,17016.5,29525.5,29555.5,11971.0,12001.0,17008,29547,11983,16995,29534,11989,False
neuron4,gaba,0.9995076656341552,0.994,610274029,610274029,549219101,15395.0,15425.0,23893.0,23923.0,10050.5,10080.5,15415,23905,10056,15405,23911,10075,False
neuron4,gaba,0.8882356882095337,0.996,610274029,610274029,511271574,16472.5,16502.5,26676.0,26706.0,10542.5,10572.5,16490,26694,10548,16485,26688,10567,False
neuron4,gaba,0.9985793828964232,0.99,610274029,610274029,423748579,15001.0,15031.0,23723.0,23753.0,11543.0,11573.0,15011,23747,11558,15021,23729,11558,False
neuron4,gaba,0.9976993203163148,0.994,610274029,610274029,511271574,16117.5,16147.5,26398.0,26428.0,10666.5,10696.5,16123,26420,10678,16142,26406,10685,False
neuron4,gaba,0.9949771761894226,0.993,610274029,610274029,703033179,6665.0,6695.0,19160.0,19190.0,16907.5,16937.5,6681,19180,16929,6679,19170,16916,False
neuron4,gaba,0.9059725403785706,0.994,610274029,610274029,673366098,14744.0,14774.0,27537.5,27567.5,9589.0,9619.0,14759,27557,9614,14759,27548,9594,False
neuron4,gaba,0.8659356832504272,0.998,610274029,610274029,5813057216,6708.0,6738.0,20749.0,20779.0,16536.0,16566.0,6728,20764,16544,6718,20764,16558,False
neuron4,gaba,0.9945082068443298,0.995,610274029,610274029,579596940,14455.0,14485.0,25611.5,25641.5,9721.0,9751.0,14477,25633,9743,14463,25620,9729,False
neuron4,gaba,0.9810895323753356,0.994,610274029,610274029,1172372655,18174.5,18204.5,29394.5,29424.5,11085.0,11115.0,18199,29415,11095,18180,29404,11105,False
neuron5,gaba,0.8846166133880615,0.978,887105351,887105351,886820993,6105.0,6135.0,22012.5,22042.5,18488.5,18518.5,6120,22030,18513,6120,22025,18494,False
neuron5,gaba,0.657289981842041,0.996,887105351,887105351,5813047407,6465.5,6495.5,21508.0,21538.0,14824.0,14854.0,6473,21531,14839,6488,21515,14839,False
neuron5,gaba,0.967793107032776,0.978,887105351,887105351,636102761,5911.0,5941.0,22945.5,22975.5,12969.0,12999.0,5925,22962,12978,5927,22959,12990,False
neuron5,gaba,0.9938431978225708,0.973,887105351,887105351,671574812,6251.5,6281.5,21645.5,21675.5,17143.5,17173.5,6265,21662,17168,6268,21659,17149,False
neuron5,gaba,0.9711516499519348,0.997,887105351,887105351,953755666,9187.0,9217.0,21872.0,21902.0,13187.0,13217.0,9202,21887,13195,9202,21887,13209,False
neuron5,gaba,0.7810390591621399,0.975,887105351,887105351,1351644908,6307.5,6337.5,21687.0,21717.0,17248.5,17278.5,6322,21692,17258,6323,21712,17269,False
neuron5,gaba,0.9996185302734376,0.991,887105351,887105351,327933008,5953.0,5983.0,23470.0,23500.0,13619.5,13649.5,5956,23485,13629,5980,23485,13640,False
neuron5,gaba,0.9909490942955016,0.998,887105351,887105351,760566169,5409.5,5439.5,19813.5,19843.5,17161.0,17191.0,5430,19832,17173,5419,19825,17179,False
neuron5,gaba,0.9414441585540771,0.991,887105351,887105351,852302504,5983.5,6013.5,20135.0,20165.0,16523.0,16553.0,5989,20150,16536,6008,20150,16540,False
neuron5,gaba,0.9312732815742492,0.996,887105351,887105351,5813014218,7752.5,7782.5,19496.0,19526.0,15822.5,15852.5,7774,19511,15832,7761,19511,15843,False
neuron5,gaba,0.7374123930931091,0.953,887105351,887105351,671574812,6319.5,6349.5,21792.5,21822.5,18242.0,18272.0,6334,21800,18250,6335,21815,18264,False
neuron5,gaba,0.97422993183136,0.992,887105351,887105351,823314446,4082.5,4112.5,22935.0,22965.0,13540.0,13570.0,4104,22957,13557,4091,22943,13553,False
neuron5,gaba,0.9996755123138428,0.993,887105351,887105351,1663021115,5627.0,5657.0,21946.5,21976.5,15319.5,15349.5,5634,21966,15339,5650,21957,15330,False
neuron5,gaba,0.9622873067855836,0.976,887105351,887105351,5813041247,4724.0,4754.0,18836.0,18866.0,16925.0,16955.0,4739,18854,16930,4739,18848,16950,False
neuron5,gaba,0.903423309326172,0.99,887105351,887105351,942677658,6253.0,6283.0,22201.5,22231.5,18868.5,18898.5,6265,22213,18893,6271,22220,18874,False
neuron6,gaba,0.9089411497116088,0.982,424767514,424767514,1110972158,15121.0,15151.0,27591.0,27621.0,9560.5,9590.5,15143,27615,9576,15129,27597,9575,False
neuron6,gaba,0.9990643858909608,0.977,424767514,424767514,425790257,20292.0,20322.0,31945.0,31975.0,17584.5,17614.5,20296,31963,17600,20318,31957,17599,False
neuron6,gaba,0.6889986395835876,0.979,424767514,424767514,5813019513,15385.0,15415.0,29396.5,29426.5,11259.5,11289.5,15405,29412,11268,15395,29411,11281,False
neuron6,gaba,0.647982120513916,0.974,424767514,424767514,456134545,16638.0,16668.0,27569.5,27599.5,6270.5,6300.5,16657,27576,6288,16649,27593,6283,False
