neuron_class,gt_neurotransmitter,max_nt_value,conf,body,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
neuron1,octopamine,0.6823398470878601,0.997,5813022826,5813022826,1686839045,2762.5,2792.5,14180.5,14210.5,25773.0,25803.0,2779,14205,25786,2776,14186,25790,False
neuron1,octopamine,0.6295468807220459,0.998,5813022826,5813022826,2156455362,3572.0,3602.0,19369.0,19399.0,31257.0,31287.0,3582,19390,31269,3592,19378,31275,False
neuron1,octopamine,0.4379194378852844,0.987,5813022826,5813022826,1815126433,5718.0,5748.0,15670.5,15700.5,30867.0,30897.0,5728,15689,30888,5738,15682,30876,False
neuron1,octopamine,0.5418003797531128,0.992,5813022826,5813022826,1874739981,2847.5,2877.5,16272.0,16302.0,26488.5,26518.5,2853,16288,26499,2872,16286,26508,False
neuron1,octopamine,0.601616621017456,0.994,5813022826,5813022826,1934790344,3935.0,3965.0,13986.0,14016.0,28243.5,28273.5,3946,14005,28265,3954,13997,28252,False
neuron1,octopamine,0.485043317079544,0.994,5813022826,5813022826,1715814552,5739.5,5769.5,12642.5,12672.5,27376.0,27406.0,5753,12665,27381,5756,12650,27401,False
neuron1,octopamine,0.3733721375465393,0.986,5813022826,5813022826,2000226559,2157.0,2187.0,19568.0,19598.0,29361.5,29391.5,2163,19588,29380,2181,19578,29373,False
neuron1,octopamine,0.377096563577652,0.998,5813022826,5813022826,1682707330,6089.0,6119.0,12050.5,12080.5,26825.0,26855.0,6104,12073,26843,6104,12058,26837,False
neuron1,octopamine,0.6295468807220459,0.998,5813022826,5813022826,2094043383,3574.0,3604.0,19370.0,19400.0,31249.0,31279.0,3582,19390,31269,3596,19380,31259,False
neuron1,octopamine,0.7480624914169312,0.991,5813022826,5813022826,2152047299,6861.5,6891.5,13799.0,13829.0,31223.0,31253.0,6872,13823,31239,6881,13805,31237,False
neuron1,octopamine,0.4661526083946228,0.985,5813022826,5813022826,2153402216,5854.5,5884.5,15691.0,15721.0,30825.0,30855.0,5868,15707,30834,5871,15705,30846,False
neuron1,octopamine,0.5418003797531128,0.992,5813022826,5813022826,1811997861,2836.0,2866.0,16271.5,16301.5,26488.5,26518.5,2853,16288,26499,2849,16285,26508,False
neuron1,octopamine,0.4018549621105194,0.975,5813022826,5813022826,1965151562,6488.0,6518.0,12363.5,12393.5,28567.0,28597.0,6506,12379,28588,6500,12378,28576,False
neuron1,octopamine,0.9624664187431335,0.993,5813022826,5813022826,1628523730,3614.0,3644.0,19357.5,19387.5,31543.0,31573.0,3629,19379,31564,3629,19366,31552,False
neuron1,octopamine,0.485043317079544,0.994,5813022826,5813022826,1870655688,5733.5,5763.5,12638.0,12668.0,27361.0,27391.0,5753,12665,27381,5744,12641,27371,False
neuron2,octopamine,0.5295090675354004,0.953,638481581,638481581,1640572741,18328.0,18358.0,31325.0,31355.0,24822.5,24852.5,18346,31331,24836,18340,31349,24839,False
neuron2,octopamine,0.9914303421974182,0.988,638481581,638481581,5813021848,14529.5,14559.5,12572.5,12602.5,12122.0,12152.0,14540,12582,12136,14549,12593,12138,False
neuron2,octopamine,0.9859946966171264,0.962,638481581,638481581,1670273743,16611.5,16641.5,32703.0,32733.0,26831.5,26861.5,16621,32715,26843,16632,32721,26850,False
neuron2,octopamine,0.9886045455932616,0.964,638481581,638481581,511271574,17688.0,17718.0,13241.0,13271.0,12227.5,12257.5,17695,13264,12241,17711,13248,12244,False
neuron2,octopamine,0.9750484228134156,0.988,638481581,638481581,5813024698,19678.5,19708.5,33893.0,33923.0,31246.0,31276.0,19688,33916,31256,19699,33900,31266,False
neuron2,octopamine,0.9806458353996276,0.985,638481581,638481581,5813055048,2968.0,2998.0,18672.5,18702.5,14941.0,14971.0,2975,18692,14956,2991,18683,14956,False
neuron2,octopamine,0.7666890621185303,0.992,638481581,638481581,823668338,2904.5,2934.5,19911.5,19941.5,13980.5,14010.5,2913,19924,13993,2926,19929,13998,False
neuron2,octopamine,0.9981196522712708,0.989,638481581,638481581,760541793,3832.0,3862.0,20336.0,20366.0,15661.0,15691.0,3851,20347,15674,3843,20355,15678,False
neuron2,octopamine,0.9042068123817444,0.992,638481581,638481581,1794055377,17669.0,17699.0,30439.0,30469.0,32043.5,32073.5,17677,30458,32058,17691,30450,32059,False
neuron2,octopamine,0.9362527132034302,0.961,638481581,638481581,1762351201,17176.0,17206.0,30488.5,30518.5,29451.0,29481.0,17190,30508,29466,17192,30499,29466,False
neuron2,octopamine,0.6194033622741699,0.984,638481581,638481581,698194389,7579.0,7609.0,19502.0,19532.0,9102.0,9132.0,7585,19517,9115,7603,19517,9119,False
neuron2,octopamine,0.9452521204948424,0.966,638481581,638481581,1788676257,17892.5,17922.5,28497.0,28527.0,31478.0,31508.0,17913,28522,31497,17902,28502,31489,False
neuron2,octopamine,0.92190283536911,0.984,638481581,638481581,1640572741,20640.5,20670.5,26515.0,26545.0,29350.5,29380.5,20648,26526,29365,20663,26534,29366,False
neuron2,octopamine,0.9987810254096984,0.961,638481581,638481581,1672320134,16323.5,16353.5,32861.5,32891.5,29396.0,29426.0,16332,32878,29408,16345,32875,29414,False
neuron2,octopamine,0.9642158150672911,0.972,638481581,638481581,1672320134,19761.0,19791.0,29600.0,29630.0,32726.0,32756.0,19779,29613,32731,19773,29617,32751,False
neuron3,octopamine,0.9991589784622192,0.956,329566174,329566174,643717679,15599.5,15629.5,27769.0,27799.0,18359.0,18389.0,15615,27790,18374,15614,27778,18374,False
neuron3,octopamine,0.8343780040740967,0.979,329566174,329566174,612652688,18209.5,18239.5,29738.0,29768.0,11503.0,11533.0,18231,29752,11525,18218,29754,11511,False
neuron3,octopamine,0.9999988079071044,0.991,329566174,329566174,330319983,13302.5,13332.5,22006.5,22036.5,8334.0,8364.0,13314,22029,8345,13321,22014,8353,False
neuron3,octopamine,0.986135721206665,0.952,329566174,329566174,298262663,13492.0,13522.0,28048.5,28078.5,10524.0,10554.0,13507,28073,10534,13507,28054,10544,False
neuron3,octopamine,0.9922875165939332,0.973,329566174,329566174,1008369816,22394.5,22424.5,23173.0,23203.0,17613.5,17643.5,22419,23182,17631,22400,23194,17626,False
neuron3,octopamine,0.9724285006523132,0.991,329566174,329566174,733036127,11701.0,11731.0,20631.5,20661.5,9444.5,9474.5,11716,20651,9465,11716,20642,9454,False
neuron3,octopamine,0.9742268919944764,0.993,329566174,329566174,486842208,28788.0,28818.0,20604.0,20634.0,15779.5,15809.5,28803,20619,15803,28803,20619,15786,False
neuron3,octopamine,0.9998514652252196,0.953,329566174,329566174,947685488,20949.5,20979.5,20730.0,20760.0,15884.0,15914.0,20960,20741,15893,20969,20749,15905,False
neuron3,octopamine,0.999594748020172,0.982,329566174,329566174,943955813,22980.5,23010.5,22175.0,22205.0,19028.5,19058.5,22991,22189,19038,23000,22191,19049,False
neuron3,octopamine,0.9575815796852112,0.951,329566174,329566174,668716892,24550.0,24580.0,24435.0,24465.0,15569.0,15599.0,24558,24444,15583,24572,24456,15585,False
neuron3,octopamine,0.9844143390655518,0.96,329566174,329566174,575384259,12666.5,12696.5,28137.5,28167.5,13638.0,13668.0,12675,28148,13651,12688,28157,13655,False
neuron3,octopamine,0.999091625213623,0.993,329566174,329566174,727838223,14473.0,14503.0,26039.5,26069.5,8666.5,8696.5,14483,26060,8683,14493,26049,8680,False
