neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron1,0.982,573333835,acetylcholine,0.9992656111717224,acetylcholine,573333835,1415829574,AL(R),AL(R),22870,30578,26820,22877,30589,26804,0.982,0.954375
neuron1,0.983,573333835,acetylcholine,0.9999232292175293,acetylcholine,573333835,909372586,CA(R),CA(R),14749,13641,14046,14746,13646,14033,0.983,0.987253
neuron1,0.984,573333835,acetylcholine,0.991448700428009,acetylcholine,573333835,5812983328,CA(R),CA(R),17279,12922,12514,17259,12925,12513,0.984,0.999645
neuron1,0.984,573333835,acetylcholine,0.9999998807907104,acetylcholine,573333835,332353566,CA(R),CA(R),12910,13028,11618,12927,13012,11627,0.984,0.962543
neuron1,0.998,573333835,acetylcholine,0.9998574256896973,acetylcholine,573333835,570314896,CA(R),CA(R),11014,14573,11743,11015,14563,11755,0.998,0.975077
neuron1,0.976,573333835,acetylcholine,0.9999673366546631,acetylcholine,573333835,579592619,CA(R),CA(R),14669,13696,13986,14675,13671,13972,0.976,0.967888
neuron1,0.991,573333835,acetylcholine,0.9679350256919861,acetylcholine,573333835,5813010159,LH(R),LH(R),3804,19634,8854,3790,19614,8852,0.991,0.97341
neuron1,0.967,573333835,acetylcholine,0.999975323677063,acetylcholine,573333835,548552915,CA(R),CA(R),16280,13680,14039,16288,13700,14053,0.967,0.975638
neuron1,0.99,573333835,acetylcholine,0.9883728623390198,acetylcholine,573333835,5813046968,LH(R),LH(R),4209,19300,9342,4192,19296,9328,0.99,0.981473
neuron1,0.98,573333835,acetylcholine,0.9831243753433228,acetylcholine,573333835,1141630854,CA(R),CA(R),16091,13592,13958,16084,13598,13945,0.98,0.96679
neuron1,0.957,573333835,acetylcholine,0.9985083937644958,acetylcholine,573333835,1794447723,AL(R),AL(R),22990,28487,25745,23006,28487,25753,0.957,0.9975
neuron1,0.981,573333835,acetylcholine,1.0,acetylcholine,573333835,5813087798,CA(R),CA(R),10912,13567,11625,10912,13559,11640,0.981,0.956095
neuron1,0.986,573333835,acetylcholine,0.9652440547943115,acetylcholine,573333835,390271033,LH(R),LH(R),7463,20334,12001,7472,20308,12027,0.986,0.952498
neuron1,0.959,573333835,acetylcholine,0.9999761581420898,acetylcholine,573333835,5812979197,CA(R),CA(R),13047,12431,12502,13021,12431,12500,0.959,0.978825
neuron1,0.972,573333835,acetylcholine,0.9999784231185913,acetylcholine,573333835,1610530558,AL(R),AL(R),23062,28829,25811,23049,28847,25826,0.972,0.976167
neuron2,0.978,5901222910,acetylcholine,0.951586902141571,acetylcholine,5901222910,5813130064,AL(R),AL(R),23217,31187,26879,23216,31174,26888,0.978,0.99401
neuron2,0.989,5901222910,acetylcholine,0.9915191531181335,acetylcholine,5901222910,604735824,LH(R),LH(R),5507,17673,9603,5531,17679,9600,0.989,0.976258
neuron2,0.98,5901222910,acetylcholine,0.9971146583557129,acetylcholine,5901222910,359214479,LH(R),LH(R),5981,18854,11737,5963,18871,11736,0.98,0.950716
neuron2,0.988,5901222910,acetylcholine,0.8198580741882324,acetylcholine,5901222910,511267279,LH(R),LH(R),4114,17838,8673,4103,17822,8688,0.988,0.97739
neuron2,0.974,5901222910,acetylcholine,0.9999481439590454,acetylcholine,5901222910,1141346462,CA(R),CA(R),16426,13218,13811,16426,13240,13820,0.974,0.9637
neuron2,0.977,5901222910,acetylcholine,0.9978331923484802,acetylcholine,5901222910,548872750,CA(R),CA(R),16378,13178,13951,16400,13188,13947,0.977,0.979966
neuron2,0.975,5901222910,acetylcholine,0.9912746548652649,acetylcholine,5901222910,480590566,LH(R),LH(R),7662,20529,11069,7668,20512,11085,0.975,0.981011
neuron2,0.98,5901222910,acetylcholine,0.9448347091674805,acetylcholine,5901222910,668144344,LH(R),LH(R),6605,19423,10999,6584,19420,11008,0.98,0.982332
neuron2,0.965,5901222910,acetylcholine,0.9937916398048401,acetylcholine,5901222910,478613576,LH(R),LH(R),8823,18242,11436,8807,18226,11435,0.965,0.998612
neuron2,0.991,5901222910,acetylcholine,0.995186984539032,acetylcholine,5901222910,5813098080,LH(R),LH(R),6179,18836,11720,6185,18820,11704,0.991,0.991513
neuron2,0.985,5901222910,acetylcholine,0.9982563853263855,acetylcholine,5901222910,424384254,LH(R),LH(R),3185,20298,14379,3187,20306,14402,0.985,0.994144
neuron2,0.976,5901222910,acetylcholine,0.9959677457809448,acetylcholine,5901222910,480590566,LH(R),LH(R),5473,17685,9525,5493,17695,9525,0.976,0.958868
neuron2,0.979,5901222910,acetylcholine,0.9999954700469971,acetylcholine,5901222910,5812982316,CA(R),CA(R),13110,12436,11845,13119,12417,11823,0.979,0.979834
neuron2,0.954,5901222910,acetylcholine,0.9967706203460693,acetylcholine,5901222910,5813104096,CA(R),CA(R),15013,12004,13563,15009,12000,13583,0.954,0.988198
neuron2,0.988,5901222910,acetylcholine,0.9662683010101318,acetylcholine,5901222910,329215923,LH(R),LH(R),4107,20969,8873,4088,20974,8881,0.988,0.952311
neuron3,0.994,1850706912,acetylcholine,0.9999788999557495,acetylcholine,1850706912,5813069085,AL(R),AL(R),20256,32795,30537,20246,32804,30525,0.994,0.9831
neuron3,0.967,1850706912,acetylcholine,0.9999942779541016,acetylcholine,1850706912,1701947337,AL(R),AL(R),19774,33639,30695,19766,33656,30693,0.967,0.998687
neuron3,0.997,1850706912,acetylcholine,0.9989134073257446,acetylcholine,1850706912,1172704683,CA(R),CA(R),13379,13602,13576,13372,13611,13598,0.997,0.988063
neuron3,0.976,1850706912,acetylcholine,0.9916993379592896,acetylcholine,1850706912,570288900,CA(R),CA(R),11811,15121,11717,11808,15126,11730,0.976,0.99345
neuron3,0.995,1850706912,acetylcholine,0.9928309917449951,acetylcholine,1850706912,327499164,LH(R),LH(R),5925,17428,11598,5946,17427,11583,0.995,0.973895
neuron3,0.964,1850706912,acetylcholine,0.9999924898147583,acetylcholine,1850706912,5812982154,CA(R),CA(R),12057,15292,11838,12064,15280,11823,0.964,0.98174
neuron3,0.974,1850706912,acetylcholine,0.9999966621398926,acetylcholine,1850706912,661766416,CA(R),CA(R),13500,13537,13565,13519,13548,13573,0.974,0.970119
neuron3,0.997,1850706912,acetylcholine,0.9999794960021973,acetylcholine,1850706912,5813069055,AL(R),AL(R),19788,33350,30417,19779,33365,30429,0.997,0.994665
neuron3,0.995,1850706912,acetylcholine,0.9999759197235107,acetylcholine,1850706912,1670597533,AL(R),AL(R),19782,33528,30033,19782,33536,30043,0.995,0.956859
neuron3,0.961,1850706912,acetylcholine,0.9808102250099182,acetylcholine,1850706912,327499164,LH(R),LH(R),1680,17684,10958,1675,17701,10959,0.961,0.960629
neuron3,0.991,1850706912,acetylcholine,0.9993507266044617,acetylcholine,1850706912,1671620613,AL(R),AL(R),20012,33502,30069,20038,33501,30071,0.991,0.984984
neuron3,0.978,1850706912,acetylcholine,0.9999550580978394,acetylcholine,1850706912,662763626,CA(R),CA(R),12672,14566,12712,12655,14580,12735,0.978,0.971235
neuron3,0.993,1850706912,acetylcholine,0.9995937943458557,acetylcholine,1850706912,1667251683,AL(R),AL(R),20289,32167,29895,20290,32191,29899,0.993,0.990549
neuron3,0.992,1850706912,acetylcholine,0.9996777772903442,acetylcholine,1850706912,5812980638,CA(R),CA(R),11929,15126,11716,11954,15119,11718,0.992,0.99111
neuron3,0.995,1850706912,acetylcholine,0.9999082088470459,acetylcholine,1850706912,5813062199,AL(R),AL(R),19507,32404,30434,19516,32405,30452,0.995,0.951879
neuron4,0.955,1640594274,acetylcholine,0.9992480874061584,acetylcholine,1640594274,698526273,LH(R),LH(R),7469,18988,14225,7472,18978,14204,0.955,0.956013
neuron4,0.966,1640594274,acetylcholine,0.9990001320838928,acetylcholine,1640594274,767433432,LH(R),LH(R),7420,20354,9707,7425,20371,9690,0.966,0.995293
neuron4,0.98,1640594274,acetylcholine,0.9999995231628418,acetylcholine,1640594274,5812982832,CA(R),CA(R),13660,12319,9739,13660,12314,9764,0.98,0.971848
