neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron1,0.979,911574041,glutamate,1.0,glutamate,911574041,943921248,PB,PB,27340,13984,17565,27354,13976,17563,0.979,0.959244
neuron1,0.981,911574041,glutamate,0.9999265670776367,glutamate,911574041,757694775,PB,PB,27299,14870,17054,27318,14885,17054,0.981,0.972001
neuron1,0.98,911574041,glutamate,1.0,glutamate,911574041,910783883,PB,PB,18812,11877,16198,18812,11871,16216,0.98,0.965834
neuron1,0.979,911574041,glutamate,0.9994021654129028,glutamate,911574041,912243353,PB,PB,18361,12396,16149,18372,12402,16138,0.979,0.991991
neuron1,0.977,911574041,glutamate,1.0,glutamate,911574041,911578496,PB,PB,27481,14765,17506,27480,14765,17493,0.977,0.973976
neuron1,0.981,911574041,glutamate,1.0,glutamate,911574041,692852666,PB,PB,18659,12519,15215,18649,12527,15219,0.981,0.989745
neuron1,0.975,911574041,glutamate,1.0,glutamate,911574041,1504582746,PB,PB,18998,11475,15814,18984,11486,15797,0.975,0.951525
neuron1,0.974,911574041,glutamate,1.0,glutamate,911574041,481121605,PB,PB,27438,14732,17580,27442,14740,17599,0.974,0.981587
neuron1,0.989,911574041,glutamate,1.0,glutamate,911574041,757694775,PB,PB,27211,14576,17610,27211,14577,17629,0.989,0.987338
neuron1,0.985,911574041,glutamate,1.0,glutamate,911574041,757694775,PB,PB,28124,13831,16275,28137,13831,16288,0.985,0.955355
neuron1,0.97,911574041,glutamate,1.0,glutamate,911574041,910442723,PB,PB,27575,13607,17043,27588,13600,17028,0.97,0.972657
neuron1,0.972,911574041,glutamate,0.9999984502792358,glutamate,911574041,881217171,PB,PB,27928,14208,17292,27924,14194,17276,0.972,0.972361
neuron1,0.957,911574041,glutamate,1.0,glutamate,911574041,604242162,PB,PB,28260,13945,16000,28260,13941,16020,0.957,0.957318
neuron1,0.994,911574041,glutamate,1.0,glutamate,911574041,1097407853,PB,PB,27433,14299,17322,27437,14280,17324,0.994,0.988576
neuron1,0.991,911574041,glutamate,1.0,glutamate,911574041,757694775,PB,PB,27192,13845,17529,27206,13839,17533,0.991,0.981046
neuron2,0.959,612371421,glutamate,0.9907588958740234,glutamate,612371421,799586652,CRE(R),CRE(R),19159,32988,16060,19162,32995,16048,0.959,0.996772
neuron2,0.994,612371421,glutamate,0.9897612929344177,glutamate,612371421,421641859,SMP(R),SMP(R),19575,32466,11190,19591,32464,11201,0.994,0.98625
neuron2,0.986,612371421,glutamate,0.9979015588760376,glutamate,612371421,487144598,SIP(R),SIP(R),16831,32007,11175,16826,32010,11184,0.986,0.991063
neuron2,0.977,612371421,glutamate,0.987862229347229,glutamate,612371421,894020730,SIP(R),SIP(R),16827,32020,11070,16827,32045,11064,0.977,0.958442
neuron2,0.969,612371421,glutamate,0.9995483756065369,glutamate,612371421,894020730,SMP(R),SMP(R),19985,30090,9890,19991,30094,9874,0.969,0.963492
neuron2,0.961,612371421,glutamate,0.9996861219406128,glutamate,612371421,424089598,SMP(R),SMP(R),18700,30113,13312,18698,30124,13323,0.961,0.989199
neuron2,0.991,612371421,glutamate,0.9502202272415161,glutamate,612371421,5813013202,SMP(R),SMP(R),21577,32780,11970,21585,32791,11957,0.991,0.996865
neuron2,0.983,612371421,glutamate,0.9985234141349792,glutamate,612371421,606461310,SMP(R),SMP(R),18058,31062,10273,18056,31051,10297,0.983,0.991906
neuron2,0.97,612371421,glutamate,0.9980683922767639,glutamate,612371421,487144598,SMP(R),SMP(R),19393,30344,13591,19397,30334,13570,0.97,0.9888
neuron2,0.957,612371421,glutamate,0.992611825466156,glutamate,612371421,612712334,CRE(R),CRE(R),18795,30864,15867,18817,30863,15854,0.957,0.95997
neuron2,0.993,612371421,glutamate,0.9841896891593933,glutamate,612371421,544107335,SMP(R),SMP(R),18072,31220,11207,18090,31230,11208,0.993,0.972654
neuron2,0.973,612371421,glutamate,0.9185526967048645,glutamate,612371421,799586652,SMP(R),SMP(R),18741,33114,14921,18735,33104,14932,0.973,0.952818
neuron2,0.973,612371421,glutamate,0.9989981055259705,glutamate,612371421,644153089,SMP(R),SMP(R),19603,34064,12819,19613,34047,12822,0.973,0.96005
neuron2,0.984,612371421,glutamate,0.9999915361404419,glutamate,612371421,644417074,SMP(R),SMP(R),17925,31100,9907,17962,31098,9917,0.984,0.975812
neuron2,0.995,612371421,glutamate,0.9895259141921997,glutamate,612371421,612738462,SMP(R),SMP(R),18683,31071,13602,18670,31089,13599,0.995,0.959527
neuron3,0.986,422725634,glutamate,0.8048260807991028,glutamate,422725634,5813022341,bL(R),bL(R),20314,30269,19862,20305,30252,19854,0.986,0.965231
neuron3,0.992,422725634,glutamate,0.9694953560829163,glutamate,422725634,733036127,aL(R),aL(R),14968,30174,16003,14968,30184,15988,0.992,0.991344
neuron3,0.986,422725634,glutamate,0.9113816022872925,glutamate,422725634,1109568718,aL(R),aL(R),15626,29379,16885,15603,29385,16883,0.986,0.960715
neuron3,0.989,422725634,glutamate,0.9579970240592957,glutamate,422725634,423382015,aL(R),aL(R),15086,28635,11733,15066,28630,11737,0.989,0.986527
neuron3,0.99,422725634,glutamate,0.9254500865936279,glutamate,422725634,5813055820,SIP(R),SIP(R),15357,22822,8746,15358,22811,8761,0.99,0.95438
neuron3,0.968,422725634,glutamate,0.9878681898117065,glutamate,422725634,667857582,gL(R),gL(R),19947,33619,16402,19960,33614,16390,0.968,0.990357
neuron3,0.996,422725634,glutamate,0.9877370595932007,glutamate,422725634,733036127,aL(R),aL(R),15554,29940,16430,15561,29943,16450,0.996,0.970032
neuron3,0.981,422725634,glutamate,0.9120056629180908,glutamate,422725634,517854468,aL(R),aL(R),15606,30059,11863,15618,30065,11880,0.981,0.953341
