neurotransmitter,neuron_class,bodyId_pre,bodyId_post,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,x_pre,y_pre,z_pre,x_post,y_post,z_post,any_out_of_range
gaba,neuron1,11687,154692,17161,17291,29301,29431,38955,39085,17226,29366,39020,17212,29377,39020,False
gaba,neuron1,11687,11438,17459,17589,29459,29589,38228,38358,17524,29524,38293,17540,29543,38276,False
gaba,neuron1,11687,27714346629,16549,16679,32080,32210,34361,34491,16614,32145,34426,16631,32140,34395,False
gaba,neuron1,11687,24792341986,16538,16668,25287,25417,30907,31037,16603,25352,30972,16605,25340,30954,False
gaba,neuron1,11687,30155095726,14632,14762,28978,29108,37787,37917,14697,29043,37852,14696,29071,37849,False
gaba,neuron1,11687,30137409093,14689,14819,26354,26484,37744,37874,14754,26419,37809,14772,26410,37804,False
gaba,neuron1,11687,362435869236,19067,19197,28419,28549,31365,31495,19132,28484,31430,19111,28487,31441,False
gaba,neuron1,11687,10559,13891,14021,30243,30373,38469,38599,13956,30308,38534,13916,30278,38554,False
gaba,neuron1,11687,10312,17466,17596,28745,28875,38361,38491,17531,28810,38426,17512,28800,38430,False
gaba,neuron1,11687,10409,17701,17831,27487,27617,30160,30290,17766,27552,30225,17793,27562,30226,False
gaba,neuron1,11687,26440915017,17504,17634,26005,26135,33160,33290,17569,26070,33225,17592,26064,33205,False
gaba,neuron1,11687,25209891672,18240,18370,26146,26276,31555,31685,18305,26211,31620,18285,26207,31619,False
gaba,neuron1,11687,30158752342,16384,16514,29475,29605,37882,38012,16449,29540,37947,16446,29562,37955,False
gaba,neuron1,11687,10312,17504,17634,27671,27801,30335,30465,17569,27736,30400,17580,27752,30414,False
gaba,neuron1,11687,28078753349,16965,17095,25698,25828,35030,35160,17030,25763,35095,17009,25764,35088,False
gaba,neuron1,11687,171403,17034,17164,25685,25815,34996,35126,17099,25750,35061,17100,25779,35067,False
gaba,neuron1,11687,29719936985,14196,14326,25691,25821,37030,37160,14261,25756,37095,14268,25762,37066,False
gaba,neuron1,11687,19773,16613,16743,27769,27899,30321,30451,16678,27834,30386,16673,27858,30391,False
gaba,neuron1,11687,28082291652,16965,17095,25698,25828,35030,35160,17030,25763,35095,17033,25789,35075,False
gaba,neuron1,11687,30565447783,14616,14746,29172,29302,37995,38125,14681,29237,38060,14691,29244,38039,False
gaba,neuron1,11687,30155174425,15664,15794,28923,29053,37691,37821,15729,28988,37756,15710,28982,37746,False
gaba,neuron1,11687,11141,17637,17767,29700,29830,30623,30753,17702,29765,30688,17687,29732,30684,False
gaba,neuron1,11687,24799453921,17032,17162,26240,26370,30868,30998,17097,26305,30933,17115,26284,30924,False
gaba,neuron1,11687,30572451371,13891,14021,30243,30373,38469,38599,13956,30308,38534,13961,30289,38539,False
gaba,neuron1,11687,30155094630,14881,15011,29084,29214,37730,37860,14946,29149,37795,14951,29128,37785,False
gaba,neuron1,11687,17091,15105,15235,35061,35191,36969,37099,15170,35126,37034,15190,35135,37025,False
gaba,neuron1,11687,30565446444,14655,14785,29133,29263,37896,38026,14720,29198,37961,14743,29190,37965,False
gaba,neuron1,11687,44697,18877,19007,28416,28546,29155,29285,18942,28481,29220,18952,28503,29230,False
gaba,neuron1,11687,23989436400,18342,18472,27176,27306,29828,29958,18407,27241,29893,18402,27264,29885,False
gaba,neuron1,11687,30158595474,14140,14270,29556,29686,37800,37930,14205,29621,37865,14212,29635,37827,False
gaba,neuron1,11687,10996,16940,17070,30018,30148,37409,37539,17005,30083,37474,17012,30099,37487,False
gaba,neuron1,11687,18240,16682,16812,32736,32866,36788,36918,16747,32801,36853,16723,32821,36878,False
gaba,neuron1,11687,10478,16438,16568,29878,30008,30776,30906,16503,29943,30841,16514,29983,30856,False
gaba,neuron1,11687,10409,15491,15621,27540,27670,37864,37994,15556,27605,37929,15566,27624,37932,False
gaba,neuron1,11687,30148295617,17992,18122,28062,28192,37641,37771,18057,28127,37706,18042,28127,37699,False
gaba,neuron1,11687,24403210901,16486,16616,27953,28083,30346,30476,16551,28018,30411,16553,27991,30426,False
gaba,neuron1,11687,10786,16832,16962,31760,31890,37208,37338,16897,31825,37273,16901,31834,37287,False
gaba,neuron1,11687,10474,15905,16035,29300,29430,37629,37759,15970,29365,37694,15963,29381,37682,False
gaba,neuron1,11687,18240,15846,15976,29219,29349,37698,37828,15911,29284,37763,15911,29249,37756,False
gaba,neuron1,11687,25227653566,19099,19229,28422,28552,31310,31440,19164,28487,31375,19125,28494,31413,False
gaba,neuron1,11687,24399750736,17733,17863,27363,27493,30273,30403,17798,27428,30338,17794,27415,30349,False
gaba,neuron1,11687,30155174869,15666,15796,29013,29143,37725,37855,15731,29078,37790,15707,29075,37809,False
gaba,neuron1,11687,10453,18861,18991,28433,28563,31274,31404,18926,28498,31339,18896,28479,31324,False
gaba,neuron1,11687,10701,15039,15169,32544,32674,33770,33900,15104,32609,33835,15107,32612,33868,False
gaba,neuron1,11687,12307,15743,15873,28588,28718,37818,37948,15808,28653,37883,15820,28653,37895,False
gaba,neuron1,11687,29355767731,16797,16927,32313,32443,36645,36775,16862,32378,36710,16902,32363,36698,False
gaba,neuron1,11687,24399672316,16660,16790,27671,27801,30387,30517,16725,27736,30452,16724,27713,30418,False
gaba,neuron1,11687,30565449354,14558,14688,29076,29206,38052,38182,14623,29141,38117,14632,29123,38139,False
gaba,neuron1,11687,154692,18024,18154,28038,28168,37746,37876,18089,28103,37811,18087,28097,37826,False
gaba,neuron1,11687,10853,18449,18579,28412,28542,29939,30069,18514,28477,30004,18514,28464,29986,False
gaba,neuron2,13472,100904,30991,31121,38409,38539,31743,31873,31056,38474,31808,31050,38492,31817,False
gaba,neuron2,13472,23172,28969,29099,35733,35863,30112,30242,29034,35798,30177,29074,35785,30198,False
gaba,neuron2,13472,160010,32300,32430,35623,35753,33666,33796,32365,35688,33731,32365,35692,33714,False
gaba,neuron2,13472,29101,30802,30932,31967,32097,34427,34557,30867,32032,34492,30871,32061,34505,False
gaba,neuron2,13472,27715489297,31365,31495,31904,32034,34557,34687,31430,31969,34622,31408,31976,34619,False
gaba,neuron2,13472,26091127102,23232,23362,34752,34882,32311,32441,23297,34817,32376,23311,34807,32365,False
gaba,neuron2,13472,26919584229,32300,32430,35623,35753,33666,33796,32365,35688,33731,32358,35680,33706,False
gaba,neuron2,13472,23611586942,26791,26921,32225,32355,29265,29395,26856,32290,29330,26835,32280,29323,False
gaba,neuron2,13472,24411075644,26806,26936,28931,29061,30577,30707,26871,28996,30642,26855,28984,30663,False
gaba,neuron2,13472,11993,28129,28259,31314,31444,36435,36565,28194,31379,36500,28191,31397,36496,False
gaba,neuron2,13472,24442642952,23606,23736,33729,33859,30632,30762,23671,33794,30697,23631,33809,30703,False
gaba,neuron2,13472,25706124673,31031,31161,38274,38404,31787,31917,31096,38339,31852,31104,38327,31865,False
gaba,neuron2,13472,26102336685,31235,31365,35921,36051,32715,32845,31300,35986,32780,31272,35987,32769,False
gaba,neuron2,13472,25285200895,31359,31489,36649,36779,31531,31661,31424,36714,31596,31456,36721,31615,False
gaba,neuron2,13472,24493,30610,30740,36671,36801,30743,30873,30675,36736,30808,30688,36711,30801,False
