neurotransmitter,neuron_class,bodyId_pre,bodyId_post,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
gaba,neuron1,11687,154692,LegNp(T2)(L),17226,29366,39020,17212,29377,39020,0.974,0.999995
gaba,neuron1,11687,11438,LegNp(T2)(L),17524,29524,38293,17540,29543,38276,0.961,0.610312
gaba,neuron1,11687,27714346629,LegNp(T2)(L),16614,32145,34426,16631,32140,34395,0.956,0.601383
gaba,neuron1,11687,24792341986,LegNp(T2)(L),16603,25352,30972,16605,25340,30954,0.959,0.967803
gaba,neuron1,11687,30155095726,LegNp(T2)(L),14697,29043,37852,14696,29071,37849,0.954,0.614783
gaba,neuron1,11687,30137409093,LegNp(T2)(L),14754,26419,37809,14772,26410,37804,0.971,0.999964
gaba,neuron1,11687,362435869236,LegNp(T2)(L),19132,28484,31430,19111,28487,31441,0.977,0.308026
gaba,neuron1,11687,10559,LegNp(T2)(L),13956,30308,38534,13916,30278,38554,0.96,0.552825
gaba,neuron1,11687,10312,LegNp(T2)(L),17531,28810,38426,17512,28800,38430,0.976,0.989072
gaba,neuron1,11687,10409,LegNp(T2)(L),17766,27552,30225,17793,27562,30226,0.972,0.624588
gaba,neuron1,11687,26440915017,LegNp(T2)(L),17569,26070,33225,17592,26064,33205,0.959,0.613452
gaba,neuron1,11687,25209891672,LegNp(T2)(L),18305,26211,31620,18285,26207,31619,0.975,0.994455
gaba,neuron1,11687,30158752342,LegNp(T2)(L),16449,29540,37947,16446,29562,37955,0.98,0.98268
gaba,neuron1,11687,10312,LegNp(T2)(L),17569,27736,30400,17580,27752,30414,0.962,0.994297
gaba,neuron1,11687,28078753349,LegNp(T2)(L),17030,25763,35095,17009,25764,35088,0.959,0.999485
gaba,neuron1,11687,171403,LegNp(T2)(L),17099,25750,35061,17100,25779,35067,0.972,0.911999
gaba,neuron1,11687,29719936985,LegNp(T2)(L),14261,25756,37095,14268,25762,37066,0.969,0.827734
gaba,neuron1,11687,19773,LegNp(T2)(L),16678,27834,30386,16673,27858,30391,0.968,0.415128
gaba,neuron1,11687,28082291652,LegNp(T2)(L),17030,25763,35095,17033,25789,35075,0.959,0.44717
gaba,neuron1,11687,30565447783,LegNp(T2)(L),14681,29237,38060,14691,29244,38039,0.984,0.907363
gaba,neuron1,11687,30155174425,LegNp(T2)(L),15729,28988,37756,15710,28982,37746,0.969,0.983235
gaba,neuron1,11687,11141,LegNp(T2)(L),17702,29765,30688,17687,29732,30684,0.953,0.59946
gaba,neuron1,11687,24799453921,LegNp(T2)(L),17097,26305,30933,17115,26284,30924,0.963,0.667036
gaba,neuron1,11687,30572451371,LegNp(T2)(L),13956,30308,38534,13961,30289,38539,0.96,0.999345
gaba,neuron1,11687,30155094630,LegNp(T2)(L),14946,29149,37795,14951,29128,37785,0.963,0.790272
gaba,neuron1,11687,17091,LegNp(T2)(L),15170,35126,37034,15190,35135,37025,0.971,0.985285
gaba,neuron1,11687,30565446444,LegNp(T2)(L),14720,29198,37961,14743,29190,37965,0.968,0.976018
gaba,neuron1,11687,44697,LegNp(T2)(L),18942,28481,29220,18952,28503,29230,0.973,0.949442
gaba,neuron1,11687,23989436400,LegNp(T2)(L),18407,27241,29893,18402,27264,29885,0.951,0.992299
gaba,neuron1,11687,30158595474,LegNp(T2)(L),14205,29621,37865,14212,29635,37827,0.967,0.389698
gaba,neuron1,11687,10996,LegNp(T2)(L),17005,30083,37474,17012,30099,37487,0.979,0.993198
gaba,neuron1,11687,18240,LegNp(T2)(L),16747,32801,36853,16723,32821,36878,0.976,0.466628
gaba,neuron1,11687,10478,LegNp(T2)(L),16503,29943,30841,16514,29983,30856,0.963,0.430746
gaba,neuron1,11687,10409,LegNp(T2)(L),15556,27605,37929,15566,27624,37932,0.972,0.999975
gaba,neuron1,11687,30148295617,LegNp(T2)(L),18057,28127,37706,18042,28127,37699,0.956,0.994057
gaba,neuron1,11687,24403210901,LegNp(T2)(L),16551,28018,30411,16553,27991,30426,0.966,0.452519
gaba,neuron1,11687,10786,LegNp(T2)(L),16897,31825,37273,16901,31834,37287,0.963,0.999952
gaba,neuron1,11687,10474,LegNp(T2)(L),15970,29365,37694,15963,29381,37682,0.969,0.997246
gaba,neuron1,11687,18240,LegNp(T2)(L),15911,29284,37763,15911,29249,37756,0.981,0.33072
gaba,neuron1,11687,25227653566,LegNp(T2)(L),19164,28487,31375,19125,28494,31413,0.956,0.56654
gaba,neuron1,11687,24399750736,LegNp(T2)(L),17798,27428,30338,17794,27415,30349,0.956,0.981222
gaba,neuron1,11687,30155174869,LegNp(T2)(L),15731,29078,37790,15707,29075,37809,0.97,0.651318
gaba,neuron1,11687,10453,LegNp(T2)(L),18926,28498,31339,18896,28479,31324,0.954,0.386394
gaba,neuron1,11687,10701,LegNp(T2)(L),15104,32609,33835,15107,32612,33868,0.966,0.457498
gaba,neuron1,11687,12307,LegNp(T2)(L),15808,28653,37883,15820,28653,37895,0.964,0.995763
gaba,neuron1,11687,29355767731,LegNp(T2)(L),16862,32378,36710,16902,32363,36698,0.959,0.424297
gaba,neuron1,11687,24399672316,LegNp(T2)(L),16725,27736,30452,16724,27713,30418,0.953,0.507495
gaba,neuron1,11687,30565449354,LegNp(T2)(L),14623,29141,38117,14632,29123,38139,0.971,0.697265
gaba,neuron1,11687,154692,LegNp(T2)(L),18089,28103,37811,18087,28097,37826,0.966,0.999844
gaba,neuron1,11687,10853,LegNp(T2)(L),18514,28477,30004,18514,28464,29986,0.963,0.970742
gaba,neuron2,13472,100904,LegNp(T2)(R),31056,38474,31808,31050,38492,31817,0.966,0.989882
gaba,neuron2,13472,23172,LegNp(T2)(R),29034,35798,30177,29074,35785,30198,0.962,0.589319
gaba,neuron2,13472,160010,LegNp(T2)(R),32365,35688,33731,32365,35692,33714,0.952,0.999989
gaba,neuron2,13472,29101,LegNp(T2)(R),30867,32032,34492,30871,32061,34505,0.962,1.0
gaba,neuron2,13472,27715489297,LegNp(T2)(R),31430,31969,34622,31408,31976,34619,0.952,0.954368
gaba,neuron2,13472,26091127102,LegNp(T2)(R),23297,34817,32376,23311,34807,32365,0.963,0.999999
gaba,neuron2,13472,26919584229,LegNp(T2)(R),32365,35688,33731,32358,35680,33706,0.952,0.899978
gaba,neuron2,13472,23611586942,LegNp(T2)(R),26856,32290,29330,26835,32280,29323,0.956,0.999455
gaba,neuron2,13472,24411075644,LegNp(T2)(R),26871,28996,30642,26855,28984,30663,0.954,0.401944
gaba,neuron2,13472,11993,LegNp(T2)(R),28194,31379,36500,28191,31397,36496,0.966,1.0
gaba,neuron2,13472,24442642952,LegNp(T2)(R),23671,33794,30697,23631,33809,30703,0.964,0.348389
gaba,neuron2,13472,25706124673,LegNp(T2)(R),31096,38339,31852,31104,38327,31865,0.955,0.999891
gaba,neuron2,13472,26102336685,LegNp(T2)(R),31300,35986,32780,31272,35987,32769,0.953,0.702254
gaba,neuron2,13472,25285200895,LegNp(T2)(R),31424,36714,31596,31456,36721,31615,0.953,0.457376
gaba,neuron2,13472,24493,LegNp(T2)(R),30675,36736,30808,30688,36711,30801,0.953,0.983567
gaba,neuron2,13472,15395,LegNp(T2)(R),31430,31969,34622,31451,31959,34647,0.952,0.437111
gaba,neuron2,13472,10580,LegNp(T2)(R),30564,36738,30332,30552,36703,30345,0.958,0.392055
gaba,neuron2,13472,12443,LegNp(T2)(R),34410,35145,36886,34427,35151,36899,0.957,0.711194
gaba,neuron2,13472,25295776333,LegNp(T2)(R),31096,38339,31852,31096,38319,31853,0.955,0.99954
gaba,neuron2,13472,25698972570,LegNp(T2)(R),30019,37373,31977,30013,37358,31988,0.965,0.997877
gaba,neuron2,13472,164491,LegNp(T2)(R),29391,35275,30095,29402,35300,30101,0.975,0.902871
gaba,neuron2,13472,175327,LegNp(T2)(R),30564,36738,30332,30590,36735,30305,0.958,0.231117
gaba,neuron2,13472,13918,LegNp(T2)(R),24516,39295,33956,24510,39276,33970,0.962,0.92667
gaba,neuron2,13472,28139873315,LegNp(T2)(R),30089,34354,34885,30090,34369,34908,0.952,0.999276
gaba,neuron2,13472,24485597288,LegNp(T2)(R),29891,39932,30541,29897,39955,30546,0.956,0.820205
gaba,neuron2,13472,24468066948,LegNp(T2)(R),32081,37266,30715,32057,37273,30731,0.962,0.621341
gaba,neuron2,13472,19758,LegNp(T2)(R),34410,35145,36886,34415,35157,36899,0.957,1.0
gaba,neuron2,13472,19204,LegNp(T2)(R),29814,37244,31417,29791,37254,31390,0.965,0.764955
gaba,neuron2,13472,24262,LegNp(T2)(R),30357,39029,31561,30354,39019,31548,0.953,1.0
gaba,neuron2,13472,23250958606,LegNp(T2)(R),29717,39258,29021,29705,39249,29000,0.972,0.910672
gaba,neuron2,13472,25295736942,LegNp(T2)(R),31056,38474,31808,31045,38473,31784,0.966,0.998502
gaba,neuron2,13472,11538,LegNp(T2)(R),31453,36579,31606,31475,36585,31603,0.969,0.942714
gaba,neuron2,13472,24036290126,LegNp(T2)(R),29415,34348,29996,29392,34352,29978,0.954,0.757328
gaba,neuron2,13472,16939,LegNp(T2)(R),31300,35986,32780,31280,35979,32782,0.953,1.0
gaba,neuron2,13472,12600,LegNp(T2)(R),31328,36605,34098,31301,36593,34103,0.971,0.478166
gaba,neuron2,13472,152633,LegNp(T2)(R),29017,40194,31014,29004,40193,31035,0.972,0.994885
gaba,neuron2,13472,24514,LegNp(T2)(R),30352,39155,32076,30376,39173,32075,0.962,0.637883
gaba,neuron2,13472,25274465958,LegNp(T2)(R),30044,35296,31311,30051,35273,31350,0.963,0.449307
gaba,neuron2,13472,23611586303,LegNp(T2)(R),26856,32290,29330,26882,32269,29323,0.956,0.517005
gaba,neuron2,13472,28578023500,LegNp(T2)(R),23367,38000,35834,23394,37995,35814,0.951,0.459513
gaba,neuron2,13472,24046865026,LegNp(T2)(R),29017,35830,30103,29023,35837,30076,0.959,0.704393
gaba,neuron2,13472,26091127493,LegNp(T2)(R),23297,34817,32376,23295,34806,32397,0.963,0.835942
gaba,neuron2,13472,14428,LegNp(T2)(R),33627,36796,34422,33627,36824,34437,0.965,0.713452
gaba,neuron2,13472,23208195183,LegNp(T2)(R),25504,33058,29318,25486,33056,29319,0.959,1.0
gaba,neuron2,13472,25706124673,LegNp(T2)(R),31082,38342,31925,31093,38328,31921,0.964,0.999896
gaba,neuron2,13472,17773,LegNp(T2)(R),31056,38474,31808,31045,38489,31800,0.966,0.999915
gaba,neuron2,13472,28132645451,LegNp(T2)(R),28101,33347,35238,28070,33340,35225,0.951,0.704311
gaba,neuron2,13472,24061248471,LegNp(T2)(R),31866,37554,29894,31863,37570,29890,0.96,1.0
gaba,neuron2,13472,199616,LegNp(T2)(R),23671,33794,30697,23680,33817,30675,0.964,0.31909
gaba,neuron2,13472,24450187138,LegNp(T2)(R),29995,35342,31382,29966,35346,31382,0.969,0.960923
gaba,neuron3,14028,12875117307,LegNp(T3)(R),26921,22570,16455,26891,22587,16429,0.951,0.215644
gaba,neuron3,14028,14923468553,LegNp(T3)(R),28145,22164,18737,28119,22133,18756,0.96,0.503339
gaba,neuron3,14028,16568388512,LegNp(T3)(R),27523,22388,20855,27517,22378,20872,0.962,0.999994
gaba,neuron3,14028,15340903185,LegNp(T3)(R),27757,23003,19407,27773,22999,19410,0.964,1.0
gaba,neuron3,14028,10830537395,LegNp(T3)(R),27864,23607,13895,27885,23601,13907,0.952,0.907209
gaba,neuron3,14028,13434,LegNp(T3)(R),27574,21379,11241,27559,21391,11232,0.951,1.0
gaba,neuron3,14028,8389515377,LegNp(T3)(R),26590,26536,10533,26590,26552,10555,0.967,0.863548
