neurotransmitter,neuron_class,bodyId_pre,bodyId_post,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
glutamate,neuron1,154692,31807290399,LegNp(T2)(L),16996,30302,39916,17002,30296,39955,0.974,0.625761
glutamate,neuron1,154692,23921,LegNp(T2)(L),15075,35844,33555,15088,35871,33572,0.971,0.889478
glutamate,neuron1,154692,12709,LegNp(T2)(L),16058,24827,35697,16041,24833,35698,0.971,1.0
glutamate,neuron1,154692,11750,LegNp(T2)(L),17267,30720,31206,17284,30706,31203,0.97,0.278505
glutamate,neuron1,154692,33441784777,LegNp(T2)(L),18625,29671,41889,18642,29700,41886,0.962,0.696164
glutamate,neuron1,154692,29780074557,LegNp(T2)(L),14380,33988,37081,14357,33997,37087,0.981,0.996692
glutamate,neuron1,154692,449233219808,LTct,18885,28282,41018,18895,28284,41033,0.962,0.999998
glutamate,neuron1,154692,12685,LegNp(T2)(L),16197,31407,38609,16182,31420,38630,0.969,0.905348
glutamate,neuron1,154692,26483245076,LegNp(T2)(L),16164,31923,33108,16182,31957,33080,0.969,0.390986
glutamate,neuron1,154692,27300061999,LegNp(T2)(L),11756,31528,33879,11772,31550,33904,0.979,0.786651
glutamate,neuron1,154692,10440,LegNp(T2)(L),17719,30122,38647,17718,30137,38670,0.969,0.999805
glutamate,neuron1,154692,27738875017,LegNp(T2)(L),13760,35902,34505,13741,35936,34505,0.968,0.267011
glutamate,neuron1,154692,14894,LegNp(T2)(L),18594,29304,31869,18580,29278,31863,0.968,0.998692
glutamate,neuron1,154692,10841,LegNp(T2)(L),16055,31913,33446,16080,31893,33460,0.962,0.293159
glutamate,neuron1,154692,25234695315,LegNp(T2)(L),18643,29348,31742,18628,29372,31758,0.971,0.959332
glutamate,neuron1,154692,16930,LegNp(T2)(L),18507,28977,32262,18546,28954,32277,0.963,0.839884
glutamate,neuron1,154692,26483132615,LegNp(T2)(L),14667,31917,33474,14650,31919,33457,0.971,0.751018
glutamate,neuron1,154692,17046,LegNp(T2)(L),14485,34568,34099,14485,34551,34093,0.983,1.0
glutamate,neuron1,154692,25241528318,LegNp(T2)(L),15773,30339,31388,15759,30324,31421,0.968,0.974965
glutamate,neuron1,154692,10221,LTct,20790,30358,43425,20797,30358,43452,0.967,0.942372
glutamate,neuron1,154692,30172742122,LegNp(T2)(L),14298,31667,37590,14326,31666,37606,0.971,0.716731
glutamate,neuron1,154692,26451646823,LegNp(T2)(L),19091,27523,33219,19116,27534,33228,0.969,0.994765
glutamate,neuron1,154692,26451608871,LegNp(T2)(L),19169,27543,33109,19148,27544,33103,0.967,0.99837
glutamate,neuron1,154692,23492,LegNp(T2)(L),15750,31982,39047,15720,31985,39037,0.962,0.415632
glutamate,neuron1,154692,26458722355,LegNp(T2)(L),19383,28710,33287,19389,28730,33276,0.97,1.0
glutamate,neuron1,154692,30537268127,LegNp(T2)(L),16081,24990,38278,16084,25006,38312,0.963,0.447012
glutamate,neuron1,154692,30548082360,LegNp(T2)(L),18991,26400,38492,19010,26400,38480,0.969,0.937711
glutamate,neuron1,154692,26448074226,LegNp(T2)(L),18939,27209,33353,18966,27196,33335,0.961,0.266037
glutamate,neuron1,154692,12360,LegNp(T2)(L),17277,29283,30674,17275,29323,30662,0.969,0.875373
glutamate,neuron1,154692,29769623060,LegNp(T2)(L),16277,32899,37619,16301,32920,37595,0.962,0.96058
glutamate,neuron1,154692,13243,LegNp(T2)(L),19640,26020,34498,19638,26032,34527,0.97,0.656463
glutamate,neuron1,154692,30151561468,LegNp(T2)(L),14697,28567,38175,14708,28555,38191,0.977,0.99899
glutamate,neuron1,154692,26500819472,LegNp(T2)(L),14591,34684,33314,14611,34698,33317,0.966,0.979438
glutamate,neuron1,154692,27672131895,LegNp(T2)(L),19733,25931,34468,19719,25945,34455,0.969,0.925703
glutamate,neuron1,154692,29369758741,LegNp(T2)(L),14724,34287,36477,14753,34277,36474,0.963,0.661135
glutamate,neuron1,154692,31372164904,LegNp(T2)(L),16556,26927,39206,16562,26943,39199,0.963,0.999989
glutamate,neuron1,154692,17900,LegNp(T2)(L),20201,26294,35009,20208,26275,35025,0.963,0.996994
glutamate,neuron1,154692,27672133922,LegNp(T2)(L),19640,26020,34498,19630,26034,34491,0.97,0.990987
glutamate,neuron1,154692,24006,LegNp(T2)(L),18336,29561,37692,18354,29555,37694,0.982,0.99981
glutamate,neuron1,154692,17900,LTct,21321,25776,35424,21321,25787,35434,0.97,1.0
glutamate,neuron1,154692,28135159524,LegNp(T2)(L),14634,33847,35122,14647,33868,35099,0.969,0.984623
glutamate,neuron1,154692,34266150005,LTct,20312,30154,42882,20311,30172,42893,0.971,1.0
glutamate,neuron1,154692,28899501869,LegNp(T2)(L),17782,25698,36049,17777,25675,36035,0.971,0.855591
glutamate,neuron1,154692,11015,LegNp(T2)(L),15127,31811,39233,15118,31784,39242,0.965,0.955909
glutamate,neuron1,154692,29730901776,LegNp(T2)(L),18691,26858,36979,18723,26839,37003,0.964,0.485742
glutamate,neuron1,154692,30958002245,LegNp(T2)(L),13374,26356,38951,13374,26371,38927,0.973,0.71095
glutamate,neuron1,154692,32627996237,LegNp(T2)(L),16853,30460,40914,16831,30449,40939,0.968,0.579103
glutamate,neuron1,154692,11141,LegNp(T2)(L),16244,26281,38813,16218,26284,38817,0.964,0.907333
